sequence,sample,x,y,z,time_s
39381,1,183,-191,-872,0.000000000
39381,2,317,207,93,0.001187424
39381,3,304,-103,402,0.002374848
39381,4,236,-416,530,0.003562272
39381,5,200,-724,227,0.004749696
39381,6,588,-490,850,0.005937120
39381,7,440,-597,1287,0.007124544
39381,8,335,-318,395,0.008311968
39381,9,480,-102,1200,0.009499392
39381,10,654,466,1458,0.010686816
39381,11,560,463,1750,0.011874240
39381,12,354,532,1896,0.013061664
39381,13,243,661,1913,0.014249088
39381,14,64,469,2580,0.015436512
39381,15,-504,-437,1970,0.016623936
39381,16,-243,-548,3019,0.017811360
39381,17,-363,-258,2925,0.018998784
39381,18,-978,-4877,3651,0.020186208
39381,19,-931,-12192,3682,0.021373632
39381,20,-2803,-15068,10431,0.022561056
39381,21,-3776,-10872,4875,0.023748480
39381,22,-3018,-5755,10174,0.024935904
39381,23,-83,-4655,3963,0.026123328
39381,24,1012,-2418,4345,0.027310752
39381,25,3295,-3265,-577,0.028498176
39381,26,1246,-4893,588,0.029685600
39381,27,-1345,-7948,2037,0.030873024
39381,28,-1036,-9302,2262,0.032060448
39381,29,-1823,-12349,7818,0.033247872
39381,30,-2331,-11543,4987,0.034435296
39381,31,-426,-9947,3397,0.035622720
39381,32,1211,-6836,3614,0.036810144
39381,33,925,-3419,745,0.037997568
39381,34,711,-1105,-408,0.039184992
39381,35,-659,-77,-2598,0.040372416
39381,36,315,-327,-1294,0.041559840
39381,37,687,69,-5077,0.042747264
39381,38,51,-73,-2976,0.043934688
39381,39,-1865,-1287,-2584,0.045122112
39381,40,-2498,-1972,-1290,0.046309536
39381,41,-2415,-1733,-2573,0.047496960
39381,42,-79,-2518,-2196,0.048684384
39381,43,1677,-2636,-4789,0.049871808
39381,44,2741,-2610,-7230,0.051059232
39381,45,2753,-1850,-7221,0.052246656
39381,46,2891,-1139,-7122,0.053434080
39381,47,1352,244,-5302,0.054621504
39381,48,162,448,-5075,0.055808928
39381,49,-17,919,-2483,0.056996352
39381,50,-86,1549,-2205,0.058183776
39381,51,-190,3076,-1926,0.059371200
39381,52,-437,2564,-2675,0.060558624
39381,53,768,-1703,-2086,0.061746048
39381,54,616,-1843,-2473,0.062933472
39381,55,-434,-1469,-2103,0.064120896
39381,56,653,-1649,-2200,0.065308320
39381,57,501,-2548,-190,0.066495744
39381,58,688,-5525,-880,0.067683168
39381,59,188,-7480,1557,0.068870592
39381,60,69,-7435,-184,0.070058016
39381,61,-659,-5584,2860,0.071245440
39381,62,-1504,-6279,3468,0.072432864
39381,63,-352,-8609,4514,0.073620288
39381,64,333,-11078,1224,0.074807712
39382,1,-651,-11814,3378,0.075995136
39382,2,362,-10919,4018,0.077182560
39382,3,355,-5901,5701,0.078369984
39382,4,-1168,-3715,5078,0.079557408
39382,5,753,-4240,4813,0.080744832
39382,6,1802,-4478,3606,0.081932256
39382,7,542,-3015,2011,0.083119680
39382,8,658,-3079,3957,0.084307104
39382,9,655,-3443,3753,0.085494528
39382,10,-599,-6392,3201,0.086681952
39382,11,671,-9818,4407,0.087869376
39382,12,358,-13558,6745,0.089056800
39382,13,-278,-13520,4129,0.090244224
39382,14,-863,-12144,5984,0.091431648
39382,15,819,-10820,6009,0.092619072
39382,16,1317,-9069,4452,0.093806496
39382,17,1558,-5963,1639,0.094993920
39382,18,1549,-4062,2365,0.096181344
39382,19,1424,-2411,1265,0.097368768
39382,20,647,197,-1355,0.098556192
39382,21,120,1583,966,0.099743616
39382,22,135,1422,417,0.100931040
39382,23,-1192,798,1798,0.102118464
39382,24,-2048,-456,1465,0.103305888
39382,25,-1992,-2179,2851,0.104493312
39382,26,-2167,-5801,94,0.105680736
39382,27,-1210,-8813,2752,0.106868160
39382,28,-917,-7912,1284,0.108055584
39382,29,-1589,-7367,1897,0.109243008
39382,30,-845,-7255,-100,0.110430432
39382,31,549,-5422,-1137,0.111617856
39382,32,1796,-1829,-3104,0.112805280
39382,33,587,343,-4613,0.113992704
39382,34,658,-281,-4468,0.115180128
39382,35,-429,-1147,-4933,0.116367552
39382,36,-745,-1967,-3761,0.117554976
39382,37,-1712,-2944,-4571,0.118742400
39382,38,-1310,-5083,-2017,0.119929824
39382,39,-1311,-7234,-2540,0.121117248
39382,40,-880,-9061,-939,0.122304672
39382,41,5,-7894,-2735,0.123492096
39382,42,-670,-4618,-2527,0.124679520
39382,43,1013,-3682,-2984,0.125866944
39382,44,1380,-6061,-2080,0.127054368
39382,45,167,-5989,-2175,0.128241792
39382,46,-1863,-3190,-1483,0.129429216
39382,47,-813,-2268,-566,0.130616640
39382,48,-973,-2853,992,0.131804064
39382,49,-43,-6191,-1079,0.132991488
39382,50,997,-8733,1193,0.134178912
39382,51,320,-10399,-995,0.135366336
39382,52,562,-8589,1006,0.136553760
39382,53,1171,-9058,354,0.137741184
39382,54,1651,-8348,2308,0.138928608
39382,55,808,-7393,593,0.140116032
39382,56,-26,-4621,1350,0.141303456
39382,57,-636,-2481,3170,0.142490880
39382,58,180,-905,1057,0.143678304
39382,59,37,-668,2068,0.144865728
39382,60,878,-520,-195,0.146053152
39382,61,552,-1089,1392,0.147240576
39382,62,923,-687,1068,0.148428000
39382,63,868,171,1302,0.149615424
39382,64,1605,-445,2912,0.150802848
39383,1,1207,-738,-242,0.151990272
39383,2,2046,-922,1984,0.153177696
39383,3,2351,-56,-1583,0.154365120
39383,4,1965,337,2634,0.155552544
39383,5,729,364,-576,0.156739968
39383,6,300,53,3278,0.157927392
39383,7,-382,-424,1205,0.159114816
39383,8,-1102,-1983,2895,0.160302240
39383,9,-866,-10165,959,0.161489664
39383,10,-380,-14678,4750,0.162677088
39383,11,-2733,-12886,3345,0.163864512
39383,12,-2337,-8316,5331,0.165051936
39383,13,-1483,-4355,5523,0.166239360
39383,14,-157,-2440,1270,0.167426784
39383,15,862,-2895,740,0.168614208
39383,16,2983,-3784,-3141,0.169801632
39383,17,1997,-4410,2271,0.170989056
39383,18,-466,-3290,-2716,0.172176480
39383,19,-720,-4765,4839,0.173363904
39383,20,-1270,-7047,3775,0.174551328
39383,21,-1957,-8248,4541,0.175738752
39383,22,-1126,-4851,4486,0.176926176
39383,23,-386,-1600,1354,0.178113600
39383,24,-1042,393,1024,0.179301024
39383,25,-332,-450,-3930,0.180488448
39383,26,823,-1552,-2529,0.181675872
39383,27,-180,-2142,-3906,0.182863296
39383,28,-1491,-1465,-4253,0.184050720
39383,29,-1833,-1502,-1963,0.185238144
39383,30,-2480,-1918,-1508,0.186425568
39383,31,-1923,-3118,-839,0.187612992
39383,32,389,-3752,-5566,0.188800416
39383,33,1717,-4133,-2598,0.189987840
