sequence,sample,x,y,z,time_s
47915,1,-703,-6697,592,0.000000000
47915,2,-233,-4168,1169,0.001187424
47915,3,-517,-2170,735,0.002374848
47915,4,125,-1420,-501,0.003562272
47915,5,1257,-2732,-1368,0.004749696
47915,6,617,-1606,106,0.005937120
47915,7,603,-1258,-228,0.007124544
47915,8,801,-1376,2679,0.008311968
47915,9,-369,-1427,1527,0.009499392
47915,10,183,-805,2865,0.010686816
47915,11,1151,-282,1737,0.011874240
47915,12,422,-513,721,0.013061664
47915,13,173,-923,324,0.014249088
47915,14,938,-578,-1304,0.015436512
47915,15,506,-676,-523,0.016623936
47915,16,-320,-2122,-1206,0.017811360
47915,17,-50,-3675,522,0.018998784
47915,18,-464,-4964,100,0.020186208
47915,19,-1811,-4790,2647,0.021373632
47915,20,-2886,-4293,2431,0.022561056
47915,21,-1285,-4977,3318,0.023748480
47915,22,176,-3225,1992,0.024935904
47915,23,-301,-1041,557,0.026123328
47915,24,710,-822,140,0.027310752
47915,25,2344,85,-570,0.028498176
47915,26,1724,250,-614,0.029685600
47915,27,1225,285,-55,0.030873024
47915,28,769,537,564,0.032060448
47915,29,-29,-170,1787,0.033247872
47915,30,-1075,-545,1501,0.034435296
47915,31,-182,-149,1152,0.035622720
47915,32,52,-173,-617,0.036810144
47915,33,-459,-1164,-1384,0.037997568
47915,34,-528,-2189,233,0.039184992
47915,35,-693,-548,621,0.040372416
47915,36,-318,776,1259,0.041559840
47915,37,-842,617,-1628,0.042747264
47915,38,282,149,1903,0.043934688
47915,39,1142,-464,-360,0.045122112
47915,40,506,-1906,-383,0.046309536
47915,41,356,-8618,247,0.047496960
47915,42,296,-13345,2729,0.048684384
47915,43,2176,-13420,285,0.049871808
47915,44,739,-13337,1290,0.051059232
47915,45,-775,-11365,4994,0.052246656
47915,46,17,-7932,1410,0.053434080
47915,47,-512,-7660,2043,0.054621504
47915,48,-1413,-7576,23,0.055808928
47915,49,179,-8877,-555,0.056996352
47915,50,-20,-9784,-1560,0.058183776
47915,51,-24,-9604,466,0.059371200
47915,52,622,-10581,351,0.060558624
47915,53,260,-10733,1389,0.061746048
47915,54,-207,-10286,2858,0.062933472
47915,55,485,-9227,2672,0.064120896
47915,56,-374,-8393,3359,0.065308320
47915,57,-569,-7699,-183,0.066495744
47915,58,495,-6149,1131,0.067683168
47915,59,-38,-4932,-561,0.068870592
47915,60,-1040,-4180,-1397,0.070058016
47915,61,-460,-3175,-272,0.071245440
47915,62,-1117,-2708,-286,0.072432864
47915,63,-1405,-4746,49,0.073620288
47915,64,-547,-6246,-764,0.074807712
47916,1,1141,-6670,-1414,0.075995136
47916,2,593,-4702,-509,0.077182560
47916,3,-484,-3212,-1543,0.078369984
47916,4,-204,-3258,-598,0.079557408
47916,5,327,-2283,-675,0.080744832
47916,6,117,-1396,-556,0.081932256
47916,7,-75,-1847,-499,0.083119680
47916,8,157,-2882,173,0.084307104
47916,9,80,-3660,-705,0.085494528
47916,10,268,-5349,829,0.086681952
47916,11,636,-7283,1302,0.087869376
47916,12,821,-9533,1091,0.089056800
47916,13,875,-9421,1991,0.090244224
47916,14,488,-8220,2407,0.091431648
47916,15,790,-6735,2816,0.092619072
47916,16,428,-3924,1871,0.093806496
47916,17,867,-1657,-498,0.094993920
47916,18,1140,-444,-93,0.096181344
47916,19,1476,-6,-1971,0.097368768
