sequence,sample,x,y,z,time_s
62128,1,-430,-296,1417,0.000000000
62128,2,-447,21,635,0.001187424
62128,3,-220,-326,1150,0.002374848
62128,4,362,-644,414,0.003562272
62128,5,640,-916,-21,0.004749696
62128,6,857,-963,-413,0.005937120
62128,7,1953,-898,-2887,0.007124544
62128,8,2829,-509,-3480,0.008311968
62128,9,2861,-154,-2179,0.009499392
62128,10,2859,154,-4955,0.010686816
62128,11,1617,144,-1769,0.011874240
62128,12,838,-154,-1128,0.013061664
62128,13,-60,-177,-1026,0.014249088
62128,14,-118,-138,-610,0.015436512
62128,15,-152,-450,-249,0.016623936
62128,16,777,-1073,-2206,0.017811360
62128,17,1174,-1097,-2908,0.018998784
62128,18,1997,-812,-2848,0.020186208
62128,19,1790,-930,-1372,0.021373632
62128,20,577,-1567,-1994,0.022561056
62128,21,-359,-2188,433,0.023748480
62128,22,-1011,-3037,669,0.024935904
62128,23,-1196,-8889,1030,0.026123328
62128,24,896,-16274,2112,0.027310752
62128,25,-155,-19655,1164,0.028498176
62128,26,-1173,-14814,4993,0.029685600
62128,27,-4392,-9394,6103,0.030873024
62128,28,-1886,-7943,5432,0.032060448
62128,29,-58,-9425,1629,0.033247872
62128,30,1712,-10660,2112,0.034435296
62128,31,944,-11992,56,0.035622720
62128,32,142,-11672,4727,0.036810144
62128,33,-1000,-9537,1906,0.037997568
62128,34,-1716,-7831,5445,0.039184992
62128,35,680,-5736,3584,0.040372416
62128,36,1299,-2619,1884,0.041559840
62128,37,966,-1484,229,0.042747264
62128,38,991,-1230,-964,0.043934688
62128,39,734,-638,-1310,0.045122112
62128,40,-189,766,-998,0.046309536
62128,41,-166,1110,-1532,0.047496960
62128,42,-156,-97,-2016,0.048684384
62128,43,-48,-210,-1117,0.049871808
62128,44,192,-110,-136,0.051059232
62128,45,-36,5,-1198,0.052246656
62128,46,-313,234,-1031,0.053434080
62128,47,400,-535,-1261,0.054621504
62128,48,1469,-1694,-3083,0.055808928
62128,49,972,-5495,-2560,0.056996352
62128,50,930,-8431,-1376,0.058183776
62128,51,-660,-9066,773,0.059371200
62128,52,-694,-8795,516,0.060558624
62128,53,-106,-10001,3675,0.061746048
62128,54,677,-13189,3766,0.062933472
62128,55,2652,-15368,2328,0.064120896
62128,56,1719,-14882,2587,0.065308320
62128,57,-955,-13412,5827,0.066495744
62128,58,-298,-9837,7117,0.067683168
62128,59,-130,-7053,3966,0.068870592
62128,60,-758,-5660,5484,0.070058016
62128,61,-1676,-6609,4066,0.071245440
62128,62,-884,-5185,2437,0.072432864
62128,63,-1533,-3392,1689,0.073620288
62128,64,-1800,-1733,2896,0.074807712
62129,1,-1141,-1035,289,0.075995136
62129,2,-1269,-1553,-1994,0.077182560
62129,3,-329,-1835,575,0.078369984
62129,4,-1023,-1599,-2599,0.079557408
62129,5,-982,-1764,-3472,0.080744832
62129,6,-433,-1403,-2796,0.081932256
62129,7,-159,2417,-2937,0.083119680
62129,8,-1469,4861,-3201,0.084307104
62129,9,-2459,4775,-4159,0.085494528
62129,10,587,767,-4055,0.086681952
62129,11,1017,-4798,-5157,0.087869376
62129,12,-418,-4095,-2977,0.089056800
62129,13,-1761,-2984,-2613,0.090244224
62129,14,-1664,-2513,1070,0.091431648
62129,15,-771,-2265,-513,0.092619072
62129,16,-397,-1022,1520,0.093806496
62129,17,1583,-6157,-784,0.094993920
62129,18,1068,-11115,2159,0.096181344
62129,19,731,-13438,56,0.097368768
62129,20,2116,-10874,5610,0.098556192
62129,21,149,-7186,5091,0.099743616
62129,22,1581,-7299,6559,0.100931040
62129,23,1900,-7637,4448,0.102118464
62129,24,1287,-6204,6570,0.103305888
62129,25,777,-3584,4226,0.104493312
62129,26,867,-2088,3183,0.105680736
62129,27,1501,-1099,-260,0.106868160
62129,28,1090,-330,675,0.108055584
62129,29,1166,-222,-1333,0.109243008
62129,30,743,-1086,-29,0.110430432
62129,31,-325,-1591,-680,0.111617856
62129,32,-201,-3096,-1041,0.112805280
62129,33,3179,-4611,-975,0.113992704
