,feature,F_score
1,y__ar_coefficient__coeff_8__k_10,4158.994586993769
2,"z__fft_aggregated__aggtype_""skew""",3860.913497896284
3,y__ar_coefficient__coeff_7__k_10,3690.470585059571
4,z__ar_coefficient__coeff_1__k_10,3656.7857655439348
5,"x__fft_coefficient__attr_""abs""__coeff_12",3408.8610938261636
6,x__partial_autocorrelation__lag_7,3336.5331765138235
7,y__ar_coefficient__coeff_1__k_10,3149.748957633534
8,"x__fft_coefficient__attr_""abs""__coeff_11",3075.6454909252175
9,"z__fft_aggregated__aggtype_""centroid""",3007.8540001717934
10,x__autocorrelation__lag_8,2804.044529090024
11,"y__fft_aggregated__aggtype_""centroid""",2725.408018347669
12,"y__fft_aggregated__aggtype_""skew""",2683.7733935608403
13,"y__fft_aggregated__aggtype_""variance""",2512.626698991388
14,"x__fft_aggregated__aggtype_""kurtosis""",2359.7435373144026
15,z__partial_autocorrelation__lag_4,2181.762596029721
16,"x__fft_aggregated__aggtype_""skew""",2158.56271473409
17,y__partial_autocorrelation__lag_9,1977.9092101302067
18,x__partial_autocorrelation__lag_1,1838.3319568274612
19,x__autocorrelation__lag_1,1838.331956827107
20,y__ar_coefficient__coeff_9__k_10,1814.7671893406687
21,"x__fft_aggregated__aggtype_""centroid""",1814.6234423852763
22,x__cid_ce__normalize_True,1798.5148465957325
23,x__number_crossing_m__m_-1,1735.2038690483614
24,x__number_crossing_m__m_1,1734.627220620247
25,x__number_crossing_m__m_0,1733.8830098695294
26,"z__fft_aggregated__aggtype_""kurtosis""",1710.8869977248535
27,z__ar_coefficient__coeff_3__k_10,1707.812020169638
28,"z__fft_coefficient__attr_""abs""__coeff_12",1696.6291655245811
29,"x__fft_coefficient__attr_""abs""__coeff_10",1595.2784346969063
30,z__ar_coefficient__coeff_8__k_10,1583.7922305448387
31,x__autocorrelation__lag_2,1567.5699341814664
32,y__partial_autocorrelation__lag_8,1488.267918208921
33,x__absolute_sum_of_changes,1457.918124287155
34,x__mean_abs_change,1457.9181242868542
35,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",1457.9181242868542
36,z__autocorrelation__lag_1,1432.6335240495207
37,z__partial_autocorrelation__lag_1,1432.6335240489916
38,z__cid_ce__normalize_True,1425.0881659304086
39,"x__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",1399.8954550567782
40,"x__fft_coefficient__attr_""abs""__coeff_13",1393.7166056868236
41,x__friedrich_coefficients__coeff_2__m_3__r_30,1362.816628398441
42,x__permutation_entropy__dimension_7__tau_1,1305.4706665917706
43,y__permutation_entropy__dimension_7__tau_1,1297.3909605739573
44,z__partial_autocorrelation__lag_8,1273.908756071133
45,x__cid_ce__normalize_False,1262.0253060935383
46,y__partial_autocorrelation__lag_2,1241.6672462618726
47,x__autocorrelation__lag_7,1237.6963212817018
48,y__permutation_entropy__dimension_4__tau_1,1236.8807791990184
49,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",1233.3468176013646
50,z__mean_abs_change,1233.3468176013646
51,z__absolute_sum_of_changes,1233.3468176011636
52,y__permutation_entropy__dimension_3__tau_1,1225.422983806096
53,y__number_peaks__n_1,1221.8501391970779
54,"x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",1202.4814274249272
55,y__permutation_entropy__dimension_5__tau_1,1201.0078141334873
56,z__partial_autocorrelation__lag_5,1177.512540477285
57,y__permutation_entropy__dimension_6__tau_1,1176.979641863771
58,z__cid_ce__normalize_False,1147.828757851123
59,x__ar_coefficient__coeff_7__k_10,1141.6069358514167
60,"z__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",1130.1167593103476
61,x__permutation_entropy__dimension_6__tau_1,1128.481942926333
62,"x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",1124.7909660915739
63,"z__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",1102.6376899226177
64,z__number_peaks__n_1,1101.8375729648858
