sequence,sample,x,y,z,time_s
5460,1,-317,-5789,4565,0.000000000
5460,2,-288,-5960,3299,0.001187424
5460,3,-313,-2838,4289,0.002374848
5460,4,-79,-1241,4472,0.003562272
5460,5,123,-3555,3484,0.004749696
5460,6,150,-10140,3444,0.005937120
5460,7,207,-8444,1865,0.007124544
5460,8,-45,-2588,2096,0.008311968
5460,9,-127,457,915,0.009499392
5460,10,199,969,1546,0.010686816
5460,11,440,975,1261,0.011874240
5460,12,425,1567,223,0.013061664
5460,13,329,2585,-937,0.014249088
5460,14,-360,3531,378,0.015436512
5460,15,302,4239,-1630,0.016623936
5460,16,391,1424,-1904,0.017811360
5460,17,340,1377,-2909,0.018998784
5460,18,434,1255,-3200,0.020186208
5460,19,235,-1203,-2990,0.021373632
5460,20,259,-2383,-4157,0.022561056
5460,21,98,-2763,-3321,0.023748480
5460,22,-203,-1954,-3634,0.024935904
5460,23,221,-3186,-3974,0.026123328
5460,24,237,-8254,-3440,0.027310752
5460,25,283,-4283,-3156,0.028498176
5460,26,148,2413,-4082,0.029685600
5460,27,48,392,-2698,0.030873024
5460,28,-75,1529,-2528,0.032060448
5460,29,66,2193,-2803,0.033247872
5460,30,-6,1535,-1363,0.034435296
5460,31,-23,1469,-1936,0.035622720
5460,32,-109,6,-1345,0.036810144
5460,33,-313,-4889,-3344,0.037997568
5460,34,-376,-7408,-1508,0.039184992
5460,35,-449,-6455,-674,0.040372416
5460,36,-475,-8038,-787,0.041559840
5460,37,-291,-8674,-313,0.042747264
5460,38,-563,-5395,297,0.043934688
5460,39,-479,-4660,621,0.045122112
5460,40,-197,-11133,1344,0.046309536
5460,41,-256,-9252,1357,0.047496960
5460,42,18,-4820,1220,0.048684384
5460,43,22,-7466,1452,0.049871808
5460,44,71,-12198,1504,0.051059232
5460,45,248,-11262,2044,0.052246656
5460,46,-142,-7104,1892,0.053434080
5460,47,19,-6184,1528,0.054621504
5460,48,131,-11675,2369,0.055808928
5460,49,199,-12001,2456,0.056996352
5460,50,193,-9284,3476,0.058183776
5460,51,-168,-8944,2326,0.059371200
5460,52,-261,-7826,2784,0.060558624
5460,53,71,-3876,2752,0.061746048
5460,54,121,-5183,3414,0.062933472
5460,55,423,-10276,3372,0.064120896
5460,56,227,-4729,2570,0.065308320
5460,57,177,-356,2986,0.066495744
5460,58,392,-2281,2008,0.067683168
5460,59,344,-1185,2119,0.068870592
5460,60,552,1368,1626,0.070058016
