sequence,sample,x,y,z,time_s
65160,1,-265,-6984,1499,0.000000000
65160,2,-251,-7412,617,0.001187424
65160,3,252,-6933,1941,0.002374848
65160,4,-110,-4756,1324,0.003562272
65160,5,-140,-4965,813,0.004749696
65160,6,674,-5627,-30,0.005937120
65160,7,865,-3978,223,0.007124544
65160,8,-266,-1215,-958,0.008311968
65160,9,83,98,-356,0.009499392
65160,10,68,156,-1168,0.010686816
65160,11,-124,-288,-937,0.011874240
65160,12,20,-304,-1185,0.013061664
65160,13,-131,-772,-720,0.014249088
65160,14,-907,-2031,-452,0.015436512
65160,15,-194,-5664,-878,0.016623936
65160,16,1047,-8023,-987,0.017811360
65160,17,451,-7518,631,0.018998784
65160,18,-645,-5434,598,0.020186208
65160,19,-951,-3737,1884,0.021373632
65160,20,-441,-1681,1370,0.022561056
65160,21,-146,-306,479,0.023748480
65160,22,328,41,-569,0.024935904
65160,23,370,-295,-343,0.026123328
65160,24,-458,-481,-58,0.027310752
65160,25,-392,-1199,232,0.028498176
65160,26,-545,-2600,1945,0.029685600
65160,27,-281,-4291,1576,0.030873024
65160,28,-86,-3897,2206,0.032060448
65160,29,-90,-3719,1670,0.033247872
65160,30,40,-2896,1327,0.034435296
65160,31,261,-2103,-197,0.035622720
65160,32,168,-1267,-76,0.036810144
65160,33,234,-1056,-705,0.037997568
65160,34,201,-133,-513,0.039184992
65160,35,-291,494,-16,0.040372416
65160,36,-444,185,724,0.041559840
65160,37,-305,-173,603,0.042747264
65160,38,-77,-158,500,0.043934688
65160,39,99,-288,918,0.045122112
65160,40,616,-653,-575,0.046309536
65160,41,643,-2593,-273,0.047496960
65160,42,558,-4581,-403,0.048684384
65160,43,606,-5627,682,0.049871808
65160,44,-225,-5037,454,0.051059232
65160,45,-745,-3744,2034,0.052246656
65160,46,-368,-4003,1350,0.053434080
65160,47,305,-5144,1508,0.054621504
65160,48,237,-6519,1131,0.055808928
65160,49,-75,-6024,2339,0.056996352
65160,50,-649,-4809,2158,0.058183776
65160,51,-829,-4217,2557,0.059371200
65160,52,300,-4921,2046,0.060558624
65160,53,938,-4598,1692,0.061746048
65160,54,265,-4872,1186,0.062933472
65160,55,-213,-4923,1792,0.064120896
65160,56,-742,-4765,1506,0.065308320
65160,57,-913,-4833,2066,0.066495744
65160,58,-251,-4684,961,0.067683168
65160,59,146,-4718,281,0.068870592
65160,60,59,-5023,-405,0.070058016
65160,61,268,-5264,-1169,0.071245440
65160,62,233,-6140,-1688,0.072432864
65160,63,288,-7158,-647,0.073620288
