sequence,sample,x,y,z,time_s
44776,1,-25,-6202,801,0.000000000
44776,2,9,-6525,942,0.001187424
44776,3,51,-5226,1374,0.002374848
44776,4,159,-4945,1356,0.003562272
44776,5,802,-5445,771,0.004749696
44776,6,672,-5133,826,0.005937120
44776,7,158,-3630,445,0.007124544
44776,8,-189,-4289,815,0.008311968
44776,9,117,-5348,747,0.009499392
44776,10,-93,-6733,1645,0.010686816
44776,11,-106,-6955,1486,0.011874240
44776,12,-62,-6118,2045,0.013061664
44776,13,-139,-5912,1718,0.014249088
44776,14,442,-5142,1325,0.015436512
44776,15,512,-3599,474,0.016623936
44776,16,32,-3055,251,0.017811360
44776,17,-57,-3545,-428,0.018998784
44776,18,665,-4038,-276,0.020186208
44776,19,-101,-5110,600,0.021373632
44776,20,-365,-6926,-440,0.022561056
44776,21,-347,-8541,566,0.023748480
44776,22,98,-8559,897,0.024935904
44776,23,104,-7286,959,0.026123328
44776,24,231,-4336,592,0.027310752
44776,25,-432,-3692,732,0.028498176
44776,26,411,-2048,-1192,0.029685600
44776,27,554,-1734,-1284,0.030873024
44776,28,53,-1800,-1224,0.032060448
44776,29,-313,-2292,-1340,0.033247872
44776,30,-568,-3153,-38,0.034435296
44776,31,-637,-4018,1421,0.035622720
44776,32,-311,-5389,730,0.036810144
44776,33,-133,-6711,1391,0.037997568
44776,34,42,-6290,489,0.039184992
44776,35,509,-4852,-213,0.040372416
44776,36,376,-4441,-138,0.041559840
44776,37,457,-3947,-1216,0.042747264
44776,38,167,-2316,-26,0.043934688
44776,39,-354,-1340,-609,0.045122112
44776,40,-618,-841,298,0.046309536
44776,41,-344,-299,158,0.047496960
44776,42,-300,538,413,0.048684384
44776,43,26,63,-240,0.049871808
44776,44,82,-121,-558,0.051059232
44776,45,290,-121,-398,0.052246656
44776,46,554,-462,-1141,0.053434080
44776,47,125,-322,86,0.054621504
44776,48,-175,-836,-773,0.055808928
44776,49,-181,-4279,-419,0.056996352
44776,50,545,-8546,32,0.058183776
44776,51,389,-8518,1954,0.059371200
44776,52,-1027,-6538,2042,0.060558624
44776,53,-1072,-4340,2694,0.061746048
44776,54,-68,-2823,1596,0.062933472
44776,55,723,-2511,1329,0.064120896
44776,56,1168,-3195,-629,0.065308320
44776,57,552,-4508,305,0.066495744
44776,58,-123,-5114,140,0.067683168
44776,59,-253,-5221,2444,0.068870592
44776,60,-485,-6372,2601,0.070058016
44776,61,-551,-6826,3744,0.071245440
44776,62,-527,-6894,2768,0.072432864
44776,63,-52,-7113,3353,0.073620288
44776,64,242,-7955,1817,0.074807712
44777,1,282,-8639,902,0.075995136
44777,2,596,-8027,750,0.077182560
44777,3,481,-5789,661,0.078369984
44777,4,59,-4000,634,0.079557408
44777,5,-260,-4274,1196,0.080744832
44777,6,-22,-4057,1201,0.081932256
44777,7,-595,-4865,978,0.083119680
