sequence,sample,x,y,z,time_s
10914,1,45,-4129,451,0.000000000
10914,2,44,-4129,447,0.001187424
10914,3,55,-4127,428,0.002374848
10914,4,42,-4116,415,0.003562272
10914,5,76,-4103,460,0.004749696
10914,6,75,-4120,444,0.005937120
10914,7,67,-4128,457,0.007124544
10914,8,73,-4142,469,0.008311968
10914,9,61,-4136,487,0.009499392
10914,10,22,-4135,467,0.010686816
10914,11,39,-4123,436,0.011874240
10914,12,37,-4097,453,0.013061664
10914,13,37,-4120,388,0.014249088
10914,14,66,-4134,431,0.015436512
10914,15,55,-4152,434,0.016623936
10914,16,55,-4174,473,0.017811360
10914,17,45,-4150,436,0.018998784
10914,18,31,-4150,484,0.020186208
10914,19,55,-4121,468,0.021373632
10914,20,57,-4127,427,0.022561056
10914,21,74,-4120,467,0.023748480
10914,22,63,-4126,467,0.024935904
10914,23,68,-4129,458,0.026123328
10914,24,70,-4143,515,0.027310752
10914,25,54,-4134,479,0.028498176
10914,26,72,-4151,494,0.029685600
10914,27,72,-4152,438,0.030873024
10914,28,78,-4138,472,0.032060448
10914,29,39,-4132,444,0.033247872
10914,30,34,-4114,440,0.034435296
10914,31,47,-4105,463,0.035622720
10914,32,38,-4099,457,0.036810144
10914,33,58,-4116,425,0.037997568
10914,34,69,-4154,458,0.039184992
10914,35,85,-4162,468,0.040372416
10914,36,76,-4133,445,0.041559840
10914,37,57,-4132,473,0.042747264
10914,38,67,-4101,464,0.043934688
10914,39,44,-4103,503,0.045122112
10914,40,51,-4123,446,0.046309536
10914,41,69,-4135,530,0.047496960
10914,42,70,-4144,454,0.048684384
10914,43,83,-4121,494,0.049871808
10914,44,97,-4119,444,0.051059232
10914,45,81,-4103,472,0.052246656
10914,46,56,-4114,440,0.053434080
10914,47,57,-4150,492,0.054621504
10914,48,33,-4137,461,0.055808928
10914,49,16,-4136,451,0.056996352
10914,50,28,-4120,443,0.058183776
10914,51,54,-4137,446,0.059371200
10914,52,83,-4136,424,0.060558624
10914,53,80,-4152,453,0.061746048
10914,54,59,-4143,455,0.062933472
10914,55,49,-4124,510,0.064120896
10914,56,37,-4113,439,0.065308320
10914,57,52,-4103,516,0.066495744
10914,58,75,-4117,471,0.067683168
10914,59,92,-4132,461,0.068870592
10914,60,65,-4139,471,0.070058016
10914,61,77,-4144,478,0.071245440
10914,62,63,-4134,461,0.072432864
10914,63,65,-4147,443,0.073620288
10914,64,88,-4121,439,0.074807712
10915,1,63,-4134,447,0.075995136
10915,2,42,-4135,450,0.077182560
10915,3,15,-4142,467,0.078369984
10915,4,24,-4151,395,0.079557408
10915,5,64,-4140,419,0.080744832
10915,6,89,-4133,417,0.081932256
10915,7,105,-4125,444,0.083119680
10915,8,68,-4119,485,0.084307104
10915,9,61,-4135,480,0.085494528
10915,10,49,-4138,521,0.086681952
10915,11,40,-4132,468,0.087869376
10915,12,66,-4103,431,0.089056800
10915,13,89,-4104,435,0.090244224
10915,14,107,-4135,412,0.091431648
10915,15,61,-4157,425,0.092619072
10915,16,62,-4164,463,0.093806496
10915,17,49,-4146,472,0.094993920
10915,18,26,-4146,442,0.096181344
10915,19,33,-4120,456,0.097368768
10915,20,36,-4118,419,0.098556192
10915,21,46,-4122,427,0.099743616
10915,22,42,-4128,398,0.100931040
10915,23,64,-4157,422,0.102118464
10915,24,86,-4142,434,0.103305888
10915,25,84,-4126,440,0.104493312
10915,26,70,-4126,465,0.105680736
10915,27,61,-4124,480,0.106868160
10915,28,72,-4123,486,0.108055584
10915,29,59,-4121,468,0.109243008
10915,30,74,-4113,457,0.110430432
10915,31,69,-4112,428,0.111617856
10915,32,69,-4122,438,0.112805280
10915,33,75,-4120,424,0.113992704
10915,34,65,-4159,436,0.115180128
10915,35,85,-4154,454,0.116367552
10915,36,51,-4157,425,0.117554976
10915,37,42,-4139,415,0.118742400
10915,38,45,-4129,432,0.119929824
10915,39,42,-4116,380,0.121117248
10915,40,63,-4151,425,0.122304672
10915,41,47,-4138,419,0.123492096
10915,42,74,-4148,436,0.124679520
10915,43,66,-4127,478,0.125866944
10915,44,73,-4129,452,0.127054368
10915,45,58,-4119,486,0.128241792
10915,46,59,-4120,465,0.129429216
10915,47,76,-4144,462,0.130616640
10915,48,72,-4143,427,0.131804064
10915,49,72,-4145,471,0.132991488
10915,50,78,-4106,411,0.134178912
10915,51,58,-4110,445,0.135366336
10915,52,79,-4119,437,0.136553760
10915,53,51,-4150,463,0.137741184
10915,54,52,-4146,436,0.138928608
10915,55,38,-4146,463,0.140116032
10915,56,47,-4138,437,0.141303456
10915,57,51,-4122,439,0.142490880
10915,58,71,-4113,415,0.143678304
10915,59,99,-4120,443,0.144865728
10915,60,83,-4138,437,0.146053152
10915,61,91,-4161,503,0.147240576
10915,62,63,-4124,488,0.148428000
10915,63,58,-4124,504,0.149615424
10915,64,93,-4090,471,0.150802848
10916,1,75,-4103,488,0.151990272
10916,2,63,-4112,470,0.153177696
10916,3,50,-4113,472,0.154365120
10916,4,70,-4135,461,0.155552544
10916,5,59,-4140,439,0.156739968
10916,6,62,-4138,443,0.157927392
10916,7,90,-4134,406,0.159114816
10916,8,82,-4139,477,0.160302240
10916,9,66,-4146,425,0.161489664
10916,10,53,-4146,446,0.162677088
10916,11,59,-4120,481,0.163864512
10916,12,45,-4102,458,0.165051936
10916,13,71,-4121,446,0.166239360
10916,14,99,-4121,496,0.167426784
10916,15,87,-4130,460,0.168614208
10916,16,104,-4129,518,0.169801632
10916,17,80,-4117,461,0.170989056
10916,18,80,-4120,501,0.172176480
10916,19,68,-4121,441,0.173363904
10916,20,78,-4129,437,0.174551328
10916,21,66,-4135,448,0.175738752
10916,22,50,-4146,433,0.176926176
10916,23,79,-4135,414,0.178113600
10916,24,40,-4134,464,0.179301024
10916,25,69,-4125,414,0.180488448
10916,26,71,-4137,410,0.181675872
10916,27,73,-4148,436,0.182863296
10916,28,71,-4131,447,0.184050720
10916,29,30,-4120,451,0.185238144
10916,30,55,-4115,454,0.186425568
10916,31,70,-4100,434,0.187612992
10916,32,91,-4120,434,0.188800416
10916,33,103,-4131,423,0.189987840
10916,34,80,-4142,483,0.191175264
10916,35,81,-4142,458,0.192362688
10916,36,44,-4119,477,0.193550112
10916,37,44,-4089,496,0.194737536
10916,38,43,-4101,473,0.195924960
10916,39,49,-4118,425,0.197112384
10916,40,77,-4146,444,0.198299808
10916,41,71,-4161,402,0.199487232
10916,42,73,-4166,401,0.200674656
10916,43,59,-4154,426,0.201862080
10916,44,67,-4137,420,0.203049504
10916,45,61,-4103,447,0.204236928
10916,46,63,-4097,481,0.205424352
10916,47,42,-4121,448,0.206611776
10916,48,61,-4129,495,0.207799200
10916,49,73,-4132,472,0.208986624
10916,50,92,-4115,458,0.210174048
10916,51,85,-4113,483,0.211361472
10916,52,105,-4118,466,0.212548896
10916,53,65,-4132,479,0.213736320
10916,54,63,-4129,472,0.214923744
10916,55,44,-4126,500,0.216111168
10916,56,53,-4118,449,0.217298592
10916,57,70,-4127,416,0.218486016
10916,58,82,-4133,420,0.219673440
10916,59,83,-4145,399,0.220860864
10916,60,63,-4150,397,0.222048288
10916,61,60,-4158,454,0.223235712
10916,62,46,-4143,401,0.224423136
10916,63,62,-4124,497,0.225610560
10916,64,69,-4125,427,0.226797984
10917,1,60,-4113,491,0.227985408
10917,2,71,-4134,423,0.229172832
10917,3,75,-4148,429,0.230360256
10917,4,97,-4136,464,0.231547680
10917,5,87,-4147,384,0.232735104
10917,6,92,-4125,477,0.233922528
10917,7,78,-4120,455,0.235109952
10917,8,43,-4125,469,0.236297376
10917,9,52,-4136,466,0.237484800
10917,10,36,-4159,429,0.238672224
10917,11,73,-4151,377,0.239859648
10917,12,67,-4137,393,0.241047072
10917,13,98,-4135,384,0.242234496
10917,14,85,-4148,385,0.243421920
10917,15,64,-4141,447,0.244609344
10917,16,53,-4153,452,0.245796768
10917,17,42,-4137,460,0.246984192
10917,18,68,-4129,451,0.248171616
10917,19,64,-4102,443,0.249359040
10917,20,69,-4111,424,0.250546464
10917,21,96,-4111,444,0.251733888
10917,22,89,-4146,418,0.252921312
10917,23,111,-4136,474,0.254108736
10917,24,56,-4137,466,0.255296160
10917,25,62,-4136,477,0.256483584
10917,26,28,-4121,482,0.257671008
10917,27,55,-4139,438,0.258858432
10917,28,67,-4136,470,0.260045856
10917,29,54,-4139,362,0.261233280
10917,30,79,-4131,463,0.262420704
10917,31,64,-4140,382,0.263608128
10917,32,75,-4124,469,0.264795552
10917,33,71,-4134,438,0.265982976
10917,34,86,-4158,486,0.267170400
10917,35,72,-4141,487,0.268357824
10917,36,77,-4134,455,0.269545248
10917,37,87,-4101,478,0.270732672
10917,38,48,-4095,484,0.271920096
10917,39,87,-4118,436,0.273107520
10917,40,92,-4144,480,0.274294944
10917,41,93,-4152,447,0.275482368
10917,42,93,-4162,466,0.276669792
10917,43,54,-4169,460,0.277857216
10917,44,77,-4140,455,0.279044640
10917,45,61,-4115,398,0.280232064
10917,46,82,-4130,412,0.281419488
10917,47,75,-4132,410,0.282606912
10917,48,61,-4148,412,0.283794336
10917,49,79,-4151,450,0.284981760
10917,50,49,-4137,433,0.286169184
10917,51,72,-4109,453,0.287356608
10917,52,84,-4127,429,0.288544032
10917,53,100,-4136,471,0.289731456
10917,54,99,-4132,422,0.290918880
10917,55,81,-4150,481,0.292106304
10917,56,76,-4130,451,0.293293728
10917,57,79,-4112,437,0.294481152
10917,58,80,-4110,453,0.295668576
10917,59,113,-4128,457,0.296856000
10917,60,78,-4145,455,0.298043424
10917,61,89,-4146,456,0.299230848
10917,62,51,-4148,461,0.300418272
10917,63,63,-4129,426,0.301605696
10917,64,60,-4128,428,0.302793120
10918,1,87,-4147,383,0.303980544
10918,2,84,-4148,426,0.305167968
10918,3,63,-4147,394,0.306355392
10918,4,80,-4136,459,0.307542816
10918,5,74,-4142,407,0.308730240
10918,6,86,-4141,490,0.309917664
10918,7,77,-4123,449,0.311105088
10918,8,84,-4132,513,0.312292512
10918,9,62,-4113,467,0.313479936
10918,10,48,-4109,496,0.314667360
10918,11,61,-4099,457,0.315854784
10918,12,80,-4115,432,0.317042208
10918,13,89,-4139,435,0.318229632
10918,14,108,-4144,405,0.319417056
10918,15,86,-4162,434,0.320604480
10918,16,69,-4140,442,0.321791904
10918,17,55,-4121,458,0.322979328
10918,18,42,-4120,450,0.324166752
10918,19,59,-4120,428,0.325354176
10918,20,78,-4130,431,0.326541600
10918,21,68,-4149,434,0.327729024
10918,22,82,-4141,425,0.328916448
10918,23,72,-4137,449,0.330103872
10918,24,82,-4131,430,0.331291296
10918,25,85,-4129,483,0.332478720
10918,26,73,-4121,490,0.333666144
10918,27,80,-4117,483,0.334853568
10918,28,54,-4113,508,0.336040992
10918,29,58,-4134,460,0.337228416
10918,30,80,-4124,422,0.338415840
10918,31,91,-4150,427,0.339603264
10918,32,97,-4132,388,0.340790688
10918,33,75,-4135,428,0.341978112
10918,34,65,-4136,475,0.343165536
10918,35,34,-4145,447,0.344352960
10918,36,28,-4139,463,0.345540384
10918,37,71,-4133,455,0.346727808
10918,38,72,-4129,410,0.347915232
10918,39,108,-4128,395,0.349102656
10918,40,101,-4126,451,0.350290080
10918,41,92,-4129,445,0.351477504
10918,42,87,-4125,478,0.352664928
10918,43,73,-4147,481,0.353852352
10918,44,79,-4130,518,0.355039776
10918,45,47,-4124,502,0.356227200
10918,46,71,-4112,428,0.357414624
10918,47,72,-4120,439,0.358602048
10918,48,97,-4148,405,0.359789472
10918,49,99,-4150,378,0.360976896
10918,50,96,-4168,431,0.362164320
10918,51,77,-4135,416,0.363351744
10918,52,42,-4143,455,0.364539168
10918,53,51,-4130,462,0.365726592
10918,54,70,-4105,450,0.366914016
10918,55,59,-4117,455,0.368101440
10918,56,91,-4120,418,0.369288864
10918,57,102,-4135,460,0.370476288
10918,58,88,-4137,422,0.371663712
10918,59,97,-4135,460,0.372851136
10918,60,86,-4130,501,0.374038560
10918,61,72,-4124,458,0.375225984
10918,62,78,-4119,508,0.376413408
10918,63,61,-4115,479,0.377600832
10918,64,67,-4108,462,0.378788256
10919,1,91,-4129,458,0.379975680
10919,2,89,-4134,432,0.381163104
10919,3,76,-4130,435,0.382350528
10919,4,73,-4148,393,0.383537952
10919,5,66,-4137,444,0.384725376
10919,6,73,-4143,474,0.385912800
10919,7,51,-4140,422,0.387100224
10919,8,68,-4129,497,0.388287648
10919,9,81,-4123,404,0.389475072
10919,10,113,-4143,470,0.390662496
10919,11,106,-4147,404,0.391849920
10919,12,105,-4129,478,0.393037344
10919,13,93,-4124,474,0.394224768
10919,14,69,-4117,518,0.395412192
10919,15,89,-4131,524,0.396599616
10919,16,65,-4130,486,0.397787040
10919,17,79,-4136,480,0.398974464
10919,18,90,-4131,445,0.400161888
10919,19,72,-4142,416,0.401349312
10919,20,105,-4141,403,0.402536736
10919,21,90,-4145,398,0.403724160
10919,22,93,-4146,417,0.404911584
10919,23,64,-4125,423,0.406099008
10919,24,43,-4154,445,0.407286432
10919,25,67,-4143,472,0.408473856
10919,26,66,-4130,451,0.409661280
10919,27,100,-4116,431,0.410848704
10919,28,96,-4123,454,0.412036128
10919,29,100,-4127,458,0.413223552
10919,30,77,-4123,454,0.414410976
10919,31,78,-4135,483,0.415598400
10919,32,110,-4138,452,0.416785824
10919,33,103,-4140,478,0.417973248
10919,34,98,-4112,432,0.419160672
10919,35,94,-4123,469,0.420348096
10919,36,76,-4120,444,0.421535520
10919,37,68,-4132,446,0.422722944
10919,38,60,-4133,410,0.423910368
10919,39,71,-4155,459,0.425097792
10919,40,92,-4155,369,0.426285216
10919,41,95,-4141,421,0.427472640
10919,42,86,-4125,398,0.428660064
10919,43,66,-4125,456,0.429847488
10919,44,77,-4135,432,0.431034912
10919,45,76,-4140,457,0.432222336
10919,46,83,-4142,486,0.433409760
10919,47,86,-4133,417,0.434597184
10919,48,99,-4129,478,0.435784608
10919,49,88,-4126,444,0.436972032
10919,50,96,-4125,432,0.438159456
10919,51,107,-4124,432,0.439346880
10919,52,85,-4138,444,0.440534304
10919,53,73,-4143,441,0.441721728
10919,54,45,-4143,390,0.442909152
10919,55,70,-4129,451,0.444096576
10919,56,76,-4120,361,0.445284000
10919,57,83,-4138,394,0.446471424
10919,58,87,-4136,380,0.447658848
10919,59,87,-4138,426,0.448846272
10919,60,94,-4156,412,0.450033696
10919,61,60,-4142,423,0.451221120
10919,62,64,-4117,487,0.452408544
10919,63,74,-4100,441,0.453595968
10919,64,81,-4114,501,0.454783392
10920,1,104,-4107,481,0.455970816
10920,2,89,-4140,431,0.457158240
10920,3,99,-4141,407,0.458345664
10920,4,100,-4123,435,0.459533088
10920,5,102,-4164,446,0.460720512
10920,6,76,-4133,459,0.461907936
10920,7,52,-4133,448,0.463095360
10920,8,63,-4115,470,0.464282784
10920,9,50,-4113,384,0.465470208
10920,10,69,-4146,418,0.466657632
10920,11,106,-4163,359,0.467845056
10920,12,103,-4166,419,0.469032480
10920,13,119,-4146,397,0.470219904
10920,14,85,-4122,462,0.471407328
10920,15,80,-4117,480,0.472594752
10920,16,58,-4104,473,0.473782176
10920,17,57,-4140,508,0.474969600
10920,18,72,-4132,490,0.476157024
10920,19,81,-4138,423,0.477344448
10920,20,112,-4141,472,0.478531872
10920,21,115,-4125,401,0.479719296
10920,22,112,-4126,449,0.480906720
10920,23,90,-4131,436,0.482094144
10920,24,92,-4121,481,0.483281568
10920,25,55,-4152,454,0.484468992
10920,26,63,-4134,409,0.485656416
10920,27,69,-4125,478,0.486843840
10920,28,76,-4117,361,0.488031264
10920,29,101,-4117,409,0.489218688
10920,30,101,-4129,384,0.490406112
10920,31,106,-4151,434,0.491593536
10920,32,96,-4137,452,0.492780960
10920,33,59,-4131,501,0.493968384
10920,34,51,-4112,509,0.495155808
10920,35,55,-4112,488,0.496343232
10920,36,107,-4104,492,0.497530656
10920,37,91,-4125,435,0.498718080
10920,38,92,-4132,427,0.499905504
10920,39,103,-4152,443,0.501092928
10920,40,80,-4161,439,0.502280352
10920,41,100,-4140,432,0.503467776
10920,42,73,-4124,471,0.504655200
10920,43,67,-4132,449,0.505842624
10920,44,55,-4118,453,0.507030048
10920,45,46,-4137,417,0.508217472
10920,46,76,-4133,422,0.509404896
10920,47,98,-4142,420,0.510592320
10920,48,108,-4136,421,0.511779744
10920,49,110,-4107,461,0.512967168
10920,50,101,-4130,497,0.514154592
10920,51,73,-4107,515,0.515342016
10920,52,57,-4111,521,0.516529440
10920,53,71,-4124,519,0.517716864
10920,54,76,-4136,482,0.518904288
10920,55,135,-4135,451,0.520091712
10920,56,119,-4122,440,0.521279136
10920,57,106,-4131,385,0.522466560
10920,58,86,-4129,452,0.523653984
10920,59,85,-4151,420,0.524841408
10920,60,70,-4150,472,0.526028832
10920,61,72,-4122,422,0.527216256
10920,62,81,-4153,450,0.528403680
10920,63,57,-4146,429,0.529591104
10920,64,64,-4126,430,0.530778528
10921,1,100,-4114,391,0.531965952
10921,2,120,-4107,429,0.533153376
10921,3,112,-4130,433,0.534340800
10921,4,100,-4143,459,0.535528224
10921,5,89,-4127,476,0.536715648
10921,6,82,-4115,544,0.537903072
10921,7,73,-4124,465,0.539090496
10921,8,88,-4102,501,0.540277920
10921,9,96,-4114,450,0.541465344
10921,10,115,-4136,430,0.542652768
10921,11,105,-4141,413,0.543840192
10921,12,95,-4157,398,0.545027616
10921,13,91,-4146,437,0.546215040
10921,14,82,-4134,386,0.547402464
