sequence,sample,x,y,z,time_s
27973,1,91,-4121,562,0.000000000
27973,2,98,-4106,628,0.001187424
27973,3,98,-4105,577,0.002374848
27973,4,82,-4126,642,0.003562272
27973,5,76,-4117,578,0.004749696
27973,6,75,-4107,586,0.005937120
27973,7,99,-4129,537,0.007124544
27973,8,88,-4105,571,0.008311968
27973,9,115,-4122,556,0.009499392
27973,10,98,-4130,545,0.010686816
27973,11,86,-4140,613,0.011874240
27973,12,66,-4110,566,0.013061664
27973,13,60,-4106,599,0.014249088
27973,14,61,-4109,579,0.015436512
27973,15,79,-4090,567,0.016623936
27973,16,113,-4105,564,0.017811360
27973,17,110,-4106,563,0.018998784
27973,18,91,-4126,569,0.020186208
27973,19,93,-4121,566,0.021373632
27973,20,91,-4106,627,0.022561056
27973,21,90,-4112,599,0.023748480
27973,22,95,-4106,637,0.024935904
27973,23,88,-4108,533,0.026123328
27973,24,92,-4111,552,0.027310752
27973,25,96,-4102,485,0.028498176
27973,26,93,-4112,545,0.029685600
27973,27,89,-4112,505,0.030873024
27973,28,84,-4135,563,0.032060448
27973,29,57,-4133,569,0.033247872
27973,30,60,-4151,563,0.034435296
27973,31,69,-4117,538,0.035622720
27973,32,84,-4106,571,0.036810144
27973,33,104,-4115,508,0.037997568
27973,34,123,-4128,504,0.039184992
27973,35,126,-4117,594,0.040372416
27973,36,97,-4122,523,0.041559840
27973,37,79,-4103,621,0.042747264
27973,38,80,-4092,567,0.043934688
27973,39,82,-4094,626,0.045122112
27973,40,89,-4116,539,0.046309536
27973,41,80,-4117,563,0.047496960
27973,42,94,-4127,514,0.048684384
27973,43,84,-4106,491,0.049871808
27973,44,76,-4103,571,0.051059232
27973,45,83,-4102,508,0.052246656
27973,46,76,-4125,573,0.053434080
27973,47,72,-4131,542,0.054621504
27973,48,82,-4137,596,0.055808928
27973,49,88,-4120,539,0.056996352
27973,50,87,-4085,542,0.058183776
27973,51,113,-4081,562,0.059371200
27973,52,96,-4090,578,0.060558624
27973,53,111,-4117,600,0.061746048
27973,54,112,-4139,626,0.062933472
27973,55,97,-4124,600,0.064120896
27973,56,98,-4109,651,0.065308320
27973,57,105,-4079,573,0.066495744
27973,58,121,-4081,563,0.067683168
27973,59,107,-4114,583,0.068870592
27973,60,100,-4117,571,0.070058016
27973,61,90,-4142,563,0.071245440
27973,62,58,-4116,620,0.072432864
27973,63,89,-4114,578,0.073620288
27973,64,107,-4111,637,0.074807712
27974,1,103,-4104,585,0.075995136
27974,2,125,-4114,578,0.077182560
27974,3,115,-4133,575,0.078369984
27974,4,132,-4119,589,0.079557408
27974,5,113,-4119,576,0.080744832
27974,6,120,-4099,624,0.081932256
27974,7,123,-4096,601,0.083119680
27974,8,104,-4101,679,0.084307104
27974,9,107,-4111,647,0.085494528
27974,10,111,-4114,595,0.086681952
27974,11,112,-4121,648,0.087869376
27974,12,128,-4128,539,0.089056800
