sequence,sample,x,y,z,time_s
5460,1,-60,-4140,527,0.000000000
5460,2,-32,-4109,460,0.001187424
5460,3,-41,-4105,475,0.002374848
5460,4,-10,-4102,460,0.003562272
5460,5,-32,-4127,493,0.004749696
5460,6,-63,-4136,486,0.005937120
5460,7,-82,-4150,571,0.007124544
5460,8,-91,-4129,525,0.008311968
5460,9,-77,-4126,541,0.009499392
5460,10,-75,-4116,496,0.010686816
5460,11,-31,-4133,484,0.011874240
5460,12,-31,-4121,456,0.013061664
5460,13,-50,-4133,517,0.014249088
5460,14,-73,-4128,490,0.015436512
5460,15,-68,-4105,546,0.016623936
5460,16,-56,-4105,516,0.017811360
5460,17,-32,-4131,520,0.018998784
5460,18,-34,-4133,488,0.020186208
5460,19,-31,-4150,494,0.021373632
5460,20,-46,-4112,447,0.022561056
5460,21,-46,-4110,480,0.023748480
5460,22,-71,-4092,478,0.024935904
5460,23,-69,-4118,498,0.026123328
5460,24,-68,-4145,561,0.027310752
5460,25,-74,-4153,509,0.028498176
5460,26,-75,-4163,545,0.029685600
5460,27,-53,-4104,479,0.030873024
5460,28,-40,-4112,501,0.032060448
5460,29,-55,-4104,418,0.033247872
5460,30,-53,-4109,533,0.034435296
5460,31,-68,-4137,444,0.035622720
5460,32,-61,-4153,591,0.036810144
5460,33,-70,-4139,504,0.037997568
5460,34,-53,-4133,521,0.039184992
5460,35,-40,-4109,489,0.040372416
5460,36,-27,-4111,453,0.041559840
5460,37,-39,-4113,459,0.042747264
5460,38,-55,-4135,481,0.043934688
5460,39,-44,-4145,520,0.045122112
5460,40,-85,-4148,526,0.046309536
5460,41,-66,-4133,568,0.047496960
5460,42,-64,-4130,508,0.048684384
5460,43,-54,-4120,516,0.049871808
5460,44,-44,-4131,456,0.051059232
5460,45,-29,-4132,517,0.052246656
5460,46,-52,-4138,435,0.053434080
5460,47,-64,-4114,506,0.054621504
5460,48,-58,-4119,506,0.055808928
5460,49,-64,-4128,532,0.056996352
5460,50,-50,-4123,497,0.058183776
5460,51,-46,-4141,555,0.059371200
5460,52,-42,-4132,470,0.060558624
5460,53,-23,-4133,468,0.061746048
5460,54,-34,-4107,471,0.062933472
5460,55,-51,-4106,466,0.064120896
5460,56,-69,-4120,502,0.065308320
5460,57,-66,-4140,522,0.066495744
5460,58,-55,-4148,561,0.067683168
5460,59,-75,-4148,510,0.068870592
5460,60,-66,-4133,520,0.070058016
5460,61,-27,-4124,479,0.071245440
5460,62,-37,-4106,486,0.072432864
5460,63,-60,-4123,473,0.073620288
5460,64,-51,-4134,510,0.074807712
5461,1,-81,-4115,527,0.075995136
5461,2,-63,-4117,547,0.077182560
5461,3,-55,-4112,500,0.078369984
5461,4,-8,-4133,515,0.079557408
5461,5,-25,-4134,448,0.080744832
5461,6,-32,-4129,496,0.081932256
5461,7,-57,-4119,460,0.083119680
5461,8,-54,-4114,532,0.084307104
5461,9,-69,-4103,491,0.085494528
5461,10,-64,-4119,526,0.086681952
5461,11,-53,-4130,535,0.087869376
5461,12,-44,-4152,527,0.089056800
5461,13,-63,-4150,494,0.090244224
5461,14,-69,-4137,512,0.091431648
5461,15,-68,-4128,472,0.092619072
5461,16,-62,-4103,469,0.093806496
5461,17,-53,-4095,482,0.094993920
5461,18,-52,-4133,516,0.096181344
5461,19,-55,-4134,533,0.097368768
5461,20,-42,-4137,539,0.098556192
5461,21,-49,-4136,499,0.099743616
5461,22,-43,-4120,506,0.100931040
5461,23,-25,-4117,457,0.102118464
5461,24,-23,-4107,479,0.103305888
5461,25,-36,-4113,452,0.104493312
5461,26,-66,-4123,524,0.105680736
5461,27,-68,-4122,521,0.106868160
5461,28,-68,-4140,522,0.108055584
5461,29,-71,-4141,539,0.109243008
5461,30,-67,-4134,506,0.110430432
5461,31,-71,-4143,479,0.111617856
5461,32,-42,-4131,497,0.112805280
5461,33,-57,-4129,454,0.113992704
5461,34,-56,-4130,522,0.115180128
