sequence,sample,x,y,z,time_s
16915,1,-119,-686,115,0.000000000
16915,2,386,-3627,-259,0.001187424
16915,3,1040,-7350,-345,0.002374848
16915,4,899,-8020,1319,0.003562272
16915,5,277,-5752,2231,0.004749696
16915,6,-523,-4323,3055,0.005937120
16915,7,-51,-3615,3086,0.007124544
16915,8,495,-3810,1240,0.008311968
16915,9,1611,-4133,1671,0.009499392
16915,10,707,-3167,1376,0.010686816
16915,11,-82,-2645,1519,0.011874240
16915,12,-424,-2657,1851,0.013061664
16915,13,-227,-3384,2648,0.014249088
16915,14,429,-3658,1291,0.015436512
16915,15,637,-4405,1409,0.016623936
16915,16,322,-3911,577,0.017811360
16915,17,-574,-4168,403,0.018998784
16915,18,367,-4697,-715,0.020186208
16915,19,830,-4925,-905,0.021373632
16915,20,769,-6222,-1362,0.022561056
16915,21,511,-6995,-1347,0.023748480
16915,22,219,-6653,-598,0.024935904
16915,23,-625,-6036,1096,0.026123328
16915,24,-387,-7700,210,0.027310752
16915,25,552,-8650,1245,0.028498176
16915,26,421,-8225,1303,0.029685600
16915,27,13,-7342,1141,0.030873024
16915,28,-442,-7211,1067,0.032060448
16915,29,222,-5917,1406,0.033247872
16915,30,-404,-4690,902,0.034435296
16915,31,97,-4559,729,0.035622720
16915,32,101,-4852,1308,0.036810144
16915,33,-640,-5243,1102,0.037997568
16915,34,-540,-5679,818,0.039184992
16915,35,-601,-5786,1132,0.040372416
16915,36,-427,-4868,383,0.041559840
16915,37,-146,-4397,-661,0.042747264
16915,38,168,-3842,-850,0.043934688
16915,39,234,-3171,-1546,0.045122112
16915,40,306,-2200,-2575,0.046309536
16915,41,-157,-1747,-1558,0.047496960
16915,42,-437,-1346,-1898,0.048684384
16915,43,-451,-1609,-1029,0.049871808
16915,44,-204,-1714,-1082,0.051059232
16915,45,-266,-1970,144,0.052246656
16915,46,-198,-2804,-452,0.053434080
16915,47,464,-3131,-531,0.054621504
16915,48,773,-2543,-161,0.055808928
16915,49,1051,-1745,-317,0.056996352
16915,50,1068,-1212,-720,0.058183776
16915,51,1092,-883,167,0.059371200
16915,52,766,-455,-96,0.060558624
16915,53,703,-795,315,0.061746048
16915,54,556,-1553,1029,0.062933472
16915,55,415,-2667,959,0.064120896
16915,56,536,-3482,1724,0.065308320
16915,57,379,-4027,1925,0.066495744
16915,58,290,-4746,1891,0.067683168
16915,59,424,-4899,1950,0.068870592
16915,60,480,-5633,1632,0.070058016
16915,61,613,-6047,1736,0.071245440
16915,62,244,-6454,1579,0.072432864
16915,63,-13,-5923,1938,0.073620288
16915,64,-407,-5722,2062,0.074807712
16916,1,-161,-6264,1927,0.075995136
16916,2,210,-5744,1872,0.077182560
16916,3,115,-5653,1634,0.078369984
16916,4,247,-6051,1474,0.079557408
16916,5,525,-6838,1548,0.080744832
16916,6,167,-6854,1848,0.081932256
16916,7,-207,-7354,1977,0.083119680
16916,8,-76,-7783,2081,0.084307104
16916,9,-569,-7088,2613,0.085494528
16916,10,-609,-6506,2022,0.086681952
16916,11,-341,-5442,2325,0.087869376
16916,12,-340,-5010,1145,0.089056800
16916,13,-346,-4712,888,0.090244224
16916,14,66,-5008,-59,0.091431648
16916,15,-104,-3891,331,0.092619072
16916,16,-501,-4004,-742,0.093806496
16916,17,-24,-5500,-177,0.094993920
16916,18,127,-5589,-529,0.096181344
16916,19,-263,-4453,-376,0.097368768
16916,20,-255,-4277,-563,0.098556192
16916,21,279,-4904,-524,0.099743616
16916,22,329,-3793,-774,0.100931040
16916,23,-43,-3287,-1333,0.102118464
16916,24,461,-3764,-881,0.103305888
16916,25,231,-3355,-853,0.104493312
16916,26,-28,-2634,-1116,0.105680736
16916,27,301,-2969,-808,0.106868160
16916,28,443,-3552,-634,0.108055584
16916,29,374,-2739,-963,0.109243008
16916,30,529,-2601,-881,0.110430432
16916,31,740,-2636,-554,0.111617856
16916,32,569,-2515,-1189,0.112805280
16916,33,628,-2035,-1242,0.113992704
16916,34,811,-2016,-774,0.115180128
16916,35,398,-1615,-990,0.116367552
16916,36,142,-1360,-1056,0.117554976
16916,37,252,-1090,30,0.118742400
16916,38,192,-139,-196,0.119929824
16916,39,-285,34,-193,0.121117248
16916,40,94,-734,-55,0.122304672
16916,41,181,-748,153,0.123492096
16916,42,-108,-721,-757,0.124679520
16916,43,-407,-859,80,0.125866944
16916,44,-47,-1254,384,0.127054368
16916,45,-332,-1755,401,0.128241792
16916,46,-196,-3805,583,0.129429216
16916,47,274,-8025,690,0.130616640
16916,48,507,-10103,1892,0.131804064
16916,49,-535,-8901,2543,0.132991488
16916,50,-753,-7067,3275,0.134178912
16916,51,-422,-6487,4234,0.135366336
16916,52,459,-6212,2849,0.136553760
16916,53,988,-6822,2478,0.137741184
16916,54,814,-7143,2346,0.138928608
16916,55,373,-6548,2637,0.140116032
16916,56,-270,-6762,2624,0.141303456
16916,57,98,-7119,3817,0.142490880
16916,58,477,-6712,3007,0.143678304
16916,59,149,-5695,3005,0.144865728
16916,60,-149,-5574,2298,0.146053152
16916,61,186,-5241,2173,0.147240576
16916,62,283,-4628,778,0.148428000
16916,63,220,-3724,683,0.149615424
16916,64,727,-2559,-367,0.150802848
16917,1,542,-1743,-548,0.151990272
16917,2,72,-1204,-922,0.153177696
16917,3,-157,-736,-471,0.154365120
16917,4,-317,-434,-657,0.155552544
16917,5,-437,-2252,-1180,0.156739968
16917,6,331,-3345,-1804,0.157927392
16917,7,573,-4723,-939,0.159114816
16917,8,-5,-5464,-1014,0.160302240
16917,9,-171,-5013,-698,0.161489664
16917,10,-449,-4370,106,0.162677088
16917,11,200,-4041,642,0.163864512
16917,12,522,-3102,-726,0.165051936
16917,13,840,-2660,-120,0.166239360
16917,14,674,-3209,-1225,0.167426784
16917,15,1166,-2991,-1288,0.168614208
16917,16,598,-3234,-1023,0.169801632
16917,17,503,-4522,-277,0.170989056
16917,18,263,-5771,836,0.172176480
16917,19,-349,-5163,438,0.173363904
16917,20,-466,-5054,1869,0.174551328
16917,21,-21,-5539,413,0.175738752
16917,22,35,-4976,201,0.176926176
16917,23,4,-4326,-687,0.178113600
16917,24,297,-3764,-229,0.179301024
16917,25,-399,-4033,-763,0.180488448
16917,26,-1115,-4627,-99,0.181675872
16917,27,-649,-5932,230,0.182863296
16917,28,-812,-7436,406,0.184050720
16917,29,-720,-8793,893,0.185238144
16917,30,-332,-9652,1049,0.186425568
16917,31,-359,-9634,1808,0.187612992
16917,32,-222,-8859,1582,0.188800416
16917,33,128,-7608,1755,0.189987840
16917,34,466,-7123,1566,0.191175264
16917,35,483,-6712,865,0.192362688
16917,36,143,-5233,1014,0.193550112
16917,37,123,-4190,892,0.194737536
16917,38,84,-3722,1526,0.195924960
16917,39,99,-3345,1667,0.197112384
16917,40,95,-2713,1592,0.198299808
16917,41,-5,-2466,2013,0.199487232
16917,42,156,-2032,1373,0.200674656
16917,43,213,-1608,865,0.201862080
16917,44,362,-1189,208,0.203049504
16917,45,315,-1187,-491,0.204236928
16917,46,422,-1378,-1063,0.205424352
16917,47,490,-2109,-1272,0.206611776
16917,48,670,-1662,-822,0.207799200
16917,49,-118,-2200,-336,0.208986624
16917,50,-35,-3020,-127,0.210174048
16917,51,530,-3774,-143,0.211361472
16917,52,739,-3953,260,0.212548896
16917,53,823,-4535,-525,0.213736320
16917,54,1168,-5144,84,0.214923744
16917,55,849,-5750,267,0.216111168
16917,56,516,-5970,1015,0.217298592
16917,57,978,-5195,1341,0.218486016
16917,58,542,-4754,2434,0.219673440
16917,59,427,-4036,2123,0.220860864
16917,60,710,-3430,2048,0.222048288
16917,61,824,-1880,1688,0.223235712
16917,62,199,-1788,1469,0.224423136
16917,63,557,-1741,449,0.225610560
16917,64,88,-2162,581,0.226797984
16918,1,-71,-1161,807,0.227985408
16918,2,-280,-1200,-74,0.229172832
16918,3,-525,-1429,311,0.230360256
16918,4,-531,-1982,-284,0.231547680
16918,5,-278,-1994,-1596,0.232735104
16918,6,-119,-2468,-616,0.233922528
16918,7,-452,-2664,-1816,0.235109952
16918,8,-861,-2203,-368,0.236297376
16918,9,-985,-2242,-1476,0.237484800
16918,10,-1190,-1914,35,0.238672224
16918,11,-855,-2053,-1073,0.239859648
16918,12,-610,-2090,-465,0.241047072
16918,13,-240,-2214,-504,0.242234496
16918,14,-153,-3339,-561,0.243421920
16918,15,533,-4632,39,0.244609344
16918,16,449,-4846,-40,0.245796768
16918,17,238,-3788,1669,0.246984192
