sequence,sample,x,y,z,time_s
7562,1,439,-4820,685,0.000000000
7562,2,715,-4203,857,0.001187424
7562,3,560,-3470,427,0.002374848
7562,4,-74,-2885,507,0.003562272
7562,5,-11,-3006,743,0.004749696
7562,6,-23,-2832,989,0.005937120
7562,7,-481,-3269,1481,0.007124544
7562,8,-320,-2932,1877,0.008311968
7562,9,-370,-2722,2020,0.009499392
7562,10,29,-3231,1493,0.010686816
7562,11,548,-2928,1415,0.011874240
7562,12,812,-2507,441,0.013061664
7562,13,827,-2100,596,0.014249088
7562,14,462,-2444,-11,0.015436512
7562,15,287,-2908,375,0.016623936
7562,16,20,-3377,737,0.017811360
7562,17,-278,-2838,821,0.018998784
7562,18,-487,-4272,785,0.020186208
7562,19,238,-6204,995,0.021373632
7562,20,724,-7253,947,0.022561056
7562,21,138,-7509,1002,0.023748480
7562,22,84,-7444,1678,0.024935904
7562,23,55,-8367,1692,0.026123328
7562,24,129,-9434,2318,0.027310752
7562,25,-16,-9506,1871,0.028498176
7562,26,-157,-9606,2912,0.029685600
7562,27,-579,-9198,2673,0.030873024
7562,28,-96,-9191,2367,0.032060448
7562,29,500,-8607,2263,0.033247872
7562,30,624,-8012,2158,0.034435296
7562,31,471,-7743,1008,0.035622720
7562,32,484,-6497,1949,0.036810144
7562,33,-6,-5082,1093,0.037997568
7562,34,-314,-4001,739,0.039184992
7562,35,-151,-4275,290,0.040372416
7562,36,110,-4048,-651,0.041559840
7562,37,34,-4252,-1063,0.042747264
7562,38,33,-4685,-1972,0.043934688
7562,39,97,-5787,-1698,0.045122112
7562,40,544,-6055,-2006,0.046309536
7562,41,679,-4557,-1363,0.047496960
7562,42,-119,-3346,-1130,0.048684384
7562,43,331,-1481,-1381,0.049871808
7562,44,261,-636,-1318,0.051059232
7562,45,509,-411,-2206,0.052246656
7562,46,528,-195,-2084,0.053434080
7562,47,272,-159,-2491,0.054621504
7562,48,-123,-1453,-1476,0.055808928
7562,49,-14,-3572,-1533,0.056996352
7562,50,-103,-4534,584,0.058183776
7562,51,-728,-3717,871,0.059371200
7562,52,-806,-2701,1652,0.060558624
7562,53,-586,-2272,1435,0.061746048
7562,54,-29,-2408,479,0.062933472
7562,55,270,-3287,-164,0.064120896
7562,56,178,-3518,-159,0.065308320
7562,57,-651,-2715,317,0.066495744
7562,58,-1029,-2980,696,0.067683168
7562,59,-687,-3149,1877,0.068870592
7562,60,-324,-3514,1570,0.070058016
7562,61,-171,-3412,2087,0.071245440
7562,62,-64,-3180,1395,0.072432864
7562,63,155,-2799,1353,0.073620288
7562,64,175,-1787,913,0.074807712
7563,1,0,-1564,-44,0.075995136
7563,2,425,-1691,560,0.077182560
7563,3,-77,-1663,291,0.078369984
7563,4,-295,-1301,838,0.079557408
7563,5,-432,-1799,1700,0.080744832
7563,6,-229,-1754,2005,0.081932256
7563,7,-54,-2860,1849,0.083119680
7563,8,708,-4684,1264,0.084307104
7563,9,1254,-5157,1426,0.085494528
7563,10,717,-4809,427,0.086681952
7563,11,609,-3235,1516,0.087869376
7563,12,321,-2046,1378,0.089056800
7563,13,241,-1323,1587,0.090244224
7563,14,107,-1056,976,0.091431648
7563,15,159,-295,1375,0.092619072
7563,16,-463,-580,902,0.093806496
7563,17,-519,-2556,1136,0.094993920
7563,18,-353,-5122,1403,0.096181344
7563,19,-65,-7961,747,0.097368768
7563,20,-243,-8691,2151,0.098556192
7563,21,-331,-7653,1559,0.099743616
7563,22,-166,-6073,2233,0.100931040
7563,23,-315,-5855,1782,0.102118464
7563,24,369,-6150,502,0.103305888
7563,25,162,-5178,920,0.104493312
7563,26,-296,-4785,290,0.105680736
7563,27,-666,-4756,-105,0.106868160
7563,28,-310,-5951,264,0.108055584
7563,29,162,-6043,48,0.109243008
7563,30,97,-6019,312,0.110430432
7563,31,-86,-4972,327,0.111617856
7563,32,-529,-4265,563,0.112805280
7563,33,-254,-4525,-599,0.113992704
7563,34,-101,-4856,-61,0.115180128
7563,35,-175,-5785,-1603,0.116367552
7563,36,-77,-6374,-846,0.117554976
7563,37,-381,-7837,-1392,0.118742400
7563,38,-306,-8773,-193,0.119929824
7563,39,129,-8496,-102,0.121117248
7563,40,59,-7231,1071,0.122304672
7563,41,340,-6382,208,0.123492096
7563,42,886,-5903,680,0.124679520
7563,43,927,-4945,-764,0.125866944
7563,44,404,-4778,-340,0.127054368
7563,45,349,-4827,-1178,0.128241792
7563,46,17,-5100,137,0.129429216
7563,47,-145,-5993,-366,0.130616640
7563,48,-143,-7580,1318,0.131804064
7563,49,237,-9043,574,0.132991488
7563,50,-141,-8284,2094,0.134178912
7563,51,-21,-7770,1056,0.135366336
7563,52,419,-6472,1494,0.136553760
7563,53,557,-6266,517,0.137741184
7563,54,568,-5148,56,0.138928608
7563,55,397,-4624,-92,0.140116032
7563,56,-87,-3883,479,0.141303456
7563,57,-425,-4041,445,0.142490880
7563,58,-93,-5019,935,0.143678304
7563,59,212,-5501,2052,0.144865728
7563,60,121,-5372,1373,0.146053152
7563,61,119,-4024,2255,0.147240576
7563,62,-298,-2543,1306,0.148428000
7563,63,-93,-1394,771,0.149615424
7563,64,273,-794,-56,0.150802848
7564,1,636,489,-549,0.151990272
7564,2,-1,280,-1135,0.153177696
7564,3,-515,394,-57,0.154365120
7564,4,-34,884,877,0.155552544
7564,5,-663,408,-226,0.156739968
7564,6,-98,870,1904,0.157927392
7564,7,61,1950,-353,0.159114816
7564,8,44,4672,25,0.160302240
7564,9,158,4021,-428,0.161489664
7564,10,555,1708,-1917,0.162677088
7564,11,668,-1042,-1224,0.163864512
7564,12,96,-1125,-1186,0.165051936
7564,13,-1193,-684,1093,0.166239360
7564,14,-1526,-518,1004,0.167426784
7564,15,-1927,-1459,2298,0.168614208
7564,16,268,-8846,109,0.169801632
7564,17,284,-12487,1147,0.170989056
7564,18,-561,-9739,718,0.172176480
7564,19,-951,-3146,3312,0.173363904
7564,20,-585,-1426,2036,0.174551328
7564,21,338,-2297,661,0.175738752
7564,22,2603,-4351,-2052,0.176926176
7564,23,2304,-5157,1762,0.178113600
7564,24,-557,-3469,2084,0.179301024
7564,25,-938,-3190,1888,0.180488448
7564,26,-339,-3571,4487,0.181675872
7564,27,46,-3583,4324,0.182863296
7564,28,735,-2831,543,0.184050720
7564,29,1444,-3634,932,0.185238144
7564,30,271,-2249,-152,0.186425568
7564,31,-744,-3206,-924,0.187612992
7564,32,199,-6022,-537,0.188800416
7564,33,1153,-7225,-915,0.189987840
7564,34,897,-7185,-685,0.191175264
7564,35,-494,-6813,-96,0.192362688
7564,36,-541,-6967,-137,0.193550112
7564,37,-438,-5739,-355,0.194737536
7564,38,-72,-5562,-785,0.195924960
7564,39,1369,-5802,-1897,0.197112384
7564,40,1205,-5871,-1363,0.198299808
7564,41,169,-5354,-1612,0.199487232
7564,42,-330,-4750,-218,0.200674656
7564,43,-527,-4405,527,0.201862080
7564,44,-657,-4162,2202,0.203049504
7564,45,-286,-5720,1169,0.204236928
7564,46,83,-7530,3410,0.205424352
7564,47,-632,-7689,2583,0.206611776
7564,48,-1010,-6952,2313,0.207799200
7564,49,-262,-7256,1911,0.208986624
7564,50,34,-7158,2461,0.210174048
7564,51,121,-6171,-259,0.211361472
7564,52,50,-5774,1267,0.212548896
7564,53,-95,-5053,-240,0.213736320
7564,54,-565,-5763,-176,0.214923744
7564,55,34,-5983,-1564,0.216111168
7564,56,535,-6690,-79,0.217298592
7564,57,356,-4997,-825,0.218486016
7564,58,-405,-3547,605,0.219673440
7564,59,-104,-2716,-48,0.220860864
7564,60,352,-3000,1407,0.222048288
7564,61,524,-2459,-572,0.223235712
7564,62,608,-1696,70,0.224423136
7564,63,629,-1411,620,0.225610560
7564,64,353,-1208,487,0.226797984
7565,1,79,-1366,1309,0.227985408
7565,2,227,-2263,1216,0.229172832
7565,3,-64,-3262,1851,0.230360256
7565,4,287,-4200,515,0.231547680
7565,5,501,-4395,748,0.232735104
7565,6,962,-4168,30,0.233922528
7565,7,907,-2417,-75,0.235109952
7565,8,569,-1422,-29,0.236297376
7565,9,393,-196,154,0.237484800
7565,10,276,-472,66,0.238672224
7565,11,-101,-975,188,0.239859648
7565,12,-225,-1652,1448,0.241047072
7565,13,-655,-3016,1023,0.242234496
7565,14,-959,-6008,2768,0.243421920
7565,15,-389,-8381,2215,0.244609344
7565,16,-53,-9236,3655,0.245796768
7565,17,-755,-8888,3051,0.246984192
7565,18,-801,-8026,2916,0.248171616
7565,19,-216,-7043,1900,0.249359040
7565,20,147,-4978,1928,0.250546464
7565,21,9,-3491,-2,0.251733888
7565,22,-169,-3130,200,0.252921312
7565,23,217,-2771,-1105,0.254108736
7565,24,-389,-2538,179,0.255296160
7565,25,-5,-3244,-740,0.256483584
7565,26,127,-5066,1252,0.257671008
7565,27,137,-5479,473,0.258858432
7565,28,-234,-5787,1765,0.260045856
7565,29,50,-5511,1264,0.261233280
7565,30,131,-5012,1331,0.262420704
7565,31,-13,-4259,237,0.263608128
7565,32,552,-3288,-345,0.264795552
7565,33,312,-1892,-691,0.265982976
7565,34,-13,-590,-1582,0.267170400
7565,35,-101,-621,-1548,0.268357824
7565,36,58,-1206,-1547,0.269545248
7565,37,-195,-2528,-1429,0.270732672
7565,38,323,-3817,-1539,0.271920096
7565,39,525,-5375,-1051,0.273107520
7565,40,447,-5889,-741,0.274294944
7565,41,403,-6165,-675,0.275482368
7565,42,473,-5712,106,0.276669792
7565,43,247,-4930,174,0.277857216
7565,44,-91,-2876,242,0.279044640
7565,45,-429,-1831,433,0.280232064
7565,46,-312,-1606,342,0.281419488
7565,47,-269,-1504,61,0.282606912
7565,48,-474,-944,33,0.283794336
7565,49,-173,-1557,81,0.284981760
7565,50,-174,-2405,292,0.286169184
7565,51,-227,-2987,-99,0.287356608
7565,52,-42,-3597,141,0.288544032
7565,53,259,-4594,185,0.289731456
7565,54,168,-4171,63,0.290918880
7565,55,-61,-4483,156,0.292106304
7565,56,1,-4573,869,0.293293728
7565,57,-315,-3968,583,0.294481152
