sequence,sample,x,y,z,time_s
158501,1,-114,-4107,-62,0.000000000
158501,2,-304,-3832,666,0.001187424
158501,3,-65,-3907,-430,0.002374848
158501,4,67,-3601,243,0.003562272
158501,5,-146,-3159,-748,0.004749696
158501,6,93,-3244,-249,0.005937120
158501,7,-177,-3337,-863,0.007124544
158501,8,-503,-3051,436,0.008311968
158501,9,-603,-2918,-16,0.009499392
158501,10,-515,-2978,782,0.010686816
158501,11,-353,-2216,459,0.011874240
158501,12,-15,-1373,386,0.013061664
158501,13,360,-605,3,0.014249088
158501,14,405,-485,7,0.015436512
158501,15,698,-224,-463,0.016623936
158501,16,821,-185,-337,0.017811360
158501,17,550,-365,-609,0.018998784
158501,18,310,-289,140,0.020186208
158501,19,96,-69,-338,0.021373632
158501,20,191,-159,724,0.022561056
158501,21,309,-241,-515,0.023748480
158501,22,360,-629,627,0.024935904
158501,23,104,-3097,-644,0.026123328
158501,24,827,-6031,1225,0.027310752
158501,25,548,-7834,419,0.028498176
158501,26,174,-6953,2838,0.029685600
158501,27,-541,-5906,2493,0.030873024
158501,28,432,-5473,2926,0.032060448
158501,29,959,-6136,1424,0.033247872
158501,30,1403,-5349,1455,0.034435296
158501,31,578,-5443,1000,0.035622720
158501,32,150,-5238,1202,0.036810144
158501,33,-177,-5667,1639,0.037997568
158501,34,-10,-6175,1560,0.039184992
158501,35,200,-7810,1547,0.040372416
158501,36,117,-9304,2062,0.041559840
158501,37,-171,-9008,1807,0.042747264
158501,38,-583,-7238,2732,0.043934688
158501,39,-693,-5462,2110,0.045122112
158501,40,-218,-5805,1866,0.046309536
158501,41,453,-5296,307,0.047496960
158501,42,-81,-4251,626,0.048684384
158501,43,-281,-2753,-289,0.049871808
158501,44,-583,-2399,325,0.051059232
158501,45,-574,-3828,-110,0.052246656
158501,46,-64,-5771,132,0.053434080
158501,47,199,-6946,-525,0.054621504
158501,48,214,-7526,291,0.055808928
158501,49,-409,-8124,-73,0.056996352
158501,50,-314,-7639,346,0.058183776
158501,51,-311,-7097,172,0.059371200
158501,52,98,-6252,319,0.060558624
158501,53,82,-5600,-391,0.061746048
158501,54,-317,-4732,52,0.062933472
158501,55,-83,-4867,-920,0.064120896
158501,56,301,-4933,217,0.065308320
158501,57,504,-4895,-534,0.066495744
158501,58,476,-4152,897,0.067683168
158501,59,170,-3379,49,0.068870592
158501,60,136,-2688,813,0.070058016
158501,61,577,-2892,-314,0.071245440
158501,62,318,-3134,158,0.072432864
158501,63,44,-3050,-1601,0.073620288
158501,64,-63,-3614,-662,0.074807712
158502,1,25,-4413,-1381,0.075995136
158502,2,-46,-5168,-701,0.077182560
158502,3,116,-4802,-499,0.078369984
158502,4,-314,-5385,514,0.079557408
158502,5,-358,-5340,392,0.080744832
158502,6,-419,-5836,1029,0.081932256
158502,7,48,-4991,638,0.083119680
158502,8,4,-4084,840,0.084307104
158502,9,205,-3152,178,0.085494528
158502,10,55,-3142,494,0.086681952
158502,11,369,-2436,-64,0.087869376
158502,12,77,-1739,876,0.089056800
158502,13,101,-1498,833,0.090244224
158502,14,375,-1462,1572,0.091431648
158502,15,93,-1136,1117,0.092619072
158502,16,160,-654,730,0.093806496
158502,17,311,-595,691,0.094993920
158502,18,444,-416,-272,0.096181344
