sequence,sample,x,y,z,time_s
28235,1,-119,-8400,1487,0.000000000
28235,2,-302,-6932,626,0.001187424
28235,3,-699,-5961,1091,0.002374848
28235,4,-360,-5277,968,0.003562272
28235,5,-20,-5295,922,0.004749696
28235,6,111,-5396,433,0.005937120
28235,7,82,-5859,764,0.007124544
28235,8,149,-6277,426,0.008311968
28235,9,-327,-7289,633,0.009499392
28235,10,-181,-7061,422,0.010686816
28235,11,-242,-5723,871,0.011874240
28235,12,-213,-4965,425,0.013061664
28235,13,133,-5068,86,0.014249088
28235,14,460,-4048,-177,0.015436512
28235,15,274,-1965,-266,0.016623936
28235,16,-125,-1096,-1035,0.017811360
28235,17,470,-848,-898,0.018998784
28235,18,552,-444,-1115,0.020186208
28235,19,466,-355,-833,0.021373632
28235,20,-125,-823,-932,0.022561056
28235,21,74,-1801,-609,0.023748480
28235,22,377,-2200,-771,0.024935904
28235,23,473,-3132,-560,0.026123328
28235,24,693,-2868,-785,0.027310752
28235,25,707,-1770,-498,0.028498176
28235,26,511,-150,-331,0.029685600
28235,27,333,-235,-308,0.030873024
28235,28,820,-384,-971,0.032060448
28235,29,273,-549,-558,0.033247872
28235,30,480,-354,-471,0.034435296
28235,31,180,-783,-122,0.035622720
28235,32,431,-1644,424,0.036810144
28235,33,389,-1599,1362,0.037997568
28235,34,217,-1752,818,0.039184992
28235,35,349,-819,1673,0.040372416
28235,36,290,-289,529,0.041559840
28235,37,778,-113,598,0.042747264
28235,38,530,-420,216,0.043934688
28235,39,402,-732,-332,0.045122112
28235,40,-150,-1353,1217,0.046309536
28235,41,-133,-2886,398,0.047496960
28235,42,-187,-6227,2118,0.048684384
28235,43,-82,-9556,293,0.049871808
28235,44,164,-9005,3379,0.051059232
28235,45,-749,-7406,2399,0.052246656
28235,46,-612,-5794,4291,0.053434080
28235,47,-41,-5199,1942,0.054621504
28235,48,339,-4573,2252,0.055808928
28235,49,259,-3664,651,0.056996352
28235,50,-163,-2657,1075,0.058183776
28235,51,-187,-3424,769,0.059371200
28235,52,-318,-4734,1176,0.060558624
28235,53,-285,-6273,1297,0.061746048
28235,54,-203,-7068,1853,0.062933472
28235,55,-238,-7161,2131,0.064120896
28235,56,-606,-7396,1833,0.065308320
28235,57,13,-7115,1413,0.066495744
28235,58,378,-5726,615,0.067683168
28235,59,320,-4621,-28,0.068870592
28235,60,222,-4268,-1010,0.070058016
28235,61,198,-4475,-1377,0.071245440
28235,62,-78,-4563,-483,0.072432864
28235,63,-163,-4840,-726,0.073620288
28235,64,-129,-6381,376,0.074807712
28236,1,468,-7240,263,0.075995136
28236,2,428,-7873,279,0.077182560
28236,3,894,-7781,-153,0.078369984
28236,4,797,-7711,85,0.079557408
28236,5,632,-6896,-458,0.080744832
28236,6,126,-6029,77,0.081932256
28236,7,444,-5211,-308,0.083119680
28236,8,25,-5031,258,0.084307104
28236,9,-56,-6013,3,0.085494528
28236,10,127,-6439,634,0.086681952
