sequence,sample,x,y,z,time_s
131776,1,-51,-2948,-72,0.000000000
131776,2,-3,-2639,339,0.001187424
131776,3,-127,-3310,-179,0.002374848
131776,4,160,-3561,538,0.003562272
131776,5,109,-3233,-48,0.004749696
131776,6,80,-3342,258,0.005937120
131776,7,144,-4300,154,0.007124544
131776,8,307,-3972,594,0.008311968
131776,9,-49,-3118,433,0.009499392
131776,10,-31,-3912,753,0.010686816
131776,11,637,-4361,291,0.011874240
131776,12,559,-4678,665,0.013061664
131776,13,540,-4752,316,0.014249088
131776,14,311,-5075,692,0.015436512
131776,15,402,-6123,651,0.016623936
131776,16,259,-7287,1144,0.017811360
131776,17,480,-7039,1063,0.018998784
131776,18,-64,-6468,1615,0.020186208
131776,19,-237,-6478,1644,0.021373632
131776,20,229,-6396,955,0.022561056
131776,21,167,-6545,1486,0.023748480
131776,22,182,-5561,592,0.024935904
131776,23,-137,-5184,680,0.026123328
131776,24,122,-5594,503,0.027310752
131776,25,73,-5537,681,0.028498176
131776,26,158,-4961,-19,0.029685600
131776,27,-20,-5188,954,0.030873024
131776,28,354,-5371,-266,0.032060448
131776,29,264,-5261,482,0.033247872
131776,30,243,-5291,-119,0.034435296
131776,31,345,-4590,277,0.035622720
131776,32,27,-4402,-75,0.036810144
131776,33,87,-4983,180,0.037997568
131776,34,195,-4608,174,0.039184992
131776,35,-85,-3446,499,0.040372416
131776,36,-396,-2562,464,0.041559840
131776,37,54,-2615,358,0.042747264
131776,38,377,-2760,437,0.043934688
131776,39,108,-2414,-133,0.045122112
131776,40,128,-1799,-178,0.046309536
131776,41,226,-2383,-131,0.047496960
131776,42,276,-4099,-324,0.048684384
131776,43,508,-5137,-401,0.049871808
131776,44,623,-4894,397,0.051059232
131776,45,-24,-4866,741,0.052246656
131776,46,195,-5289,625,0.053434080
131776,47,433,-5535,1413,0.054621504
131776,48,330,-5290,815,0.055808928
131776,49,177,-5205,905,0.056996352
131776,50,342,-5324,991,0.058183776
131776,51,71,-5467,1437,0.059371200
131776,52,-150,-6299,1086,0.060558624
131776,53,3,-6639,1849,0.061746048
131776,54,-105,-6728,1899,0.062933472
131776,55,-75,-6825,2219,0.064120896
131776,56,43,-6396,1885,0.065308320
131776,57,201,-5803,1600,0.066495744
131776,58,124,-5296,1416,0.067683168
131776,59,411,-5093,137,0.068870592
131776,60,336,-3856,687,0.070058016
131776,61,-35,-3392,31,0.071245440
131776,62,-59,-3111,189,0.072432864
131776,63,-175,-3482,333,0.073620288
131776,64,-162,-2974,664,0.074807712
131777,1,-378,-2922,68,0.075995136
131777,2,-176,-2626,328,0.077182560
131777,3,-42,-1874,-86,0.078369984
131777,4,61,-1994,-505,0.079557408
131777,5,456,-2642,-942,0.080744832
131777,6,179,-2610,-816,0.081932256
131777,7,53,-2733,-760,0.083119680
131777,8,89,-3954,-260,0.084307104
131777,9,357,-4313,221,0.085494528
131777,10,118,-4733,444,0.086681952
131777,11,393,-4963,771,0.087869376
131777,12,512,-4290,986,0.089056800
131777,13,620,-4271,1033,0.090244224
131777,14,509,-3949,809,0.091431648
131777,15,761,-3353,516,0.092619072
131777,16,387,-2469,811,0.093806496
131777,17,15,-2358,476,0.094993920
131777,18,228,-2587,583,0.096181344
131777,19,-200,-3426,1062,0.097368768
131777,20,-219,-3676,800,0.098556192
131777,21,-111,-3223,800,0.099743616
131777,22,-9,-3943,767,0.100931040
131777,23,280,-4157,22,0.102118464
131777,24,657,-3886,-558,0.103305888
131777,25,363,-2911,-2,0.104493312
131777,26,42,-2939,-506,0.105680736
131777,27,62,-3245,-133,0.106868160
131777,28,-139,-3332,593,0.108055584
131777,29,-231,-2771,401,0.109243008
131777,30,-232,-3841,619,0.110430432
131777,31,101,-5610,661,0.111617856
131777,32,464,-6331,842,0.112805280
131777,33,93,-6566,1039,0.113992704
131777,34,81,-7168,1381,0.115180128
131777,35,139,-7578,1728,0.116367552
