sequence,sample,x,y,z,time_s
142373,1,-515,-1407,-110,0.000000000
142373,2,-345,-1219,-6,0.001187424
142373,3,-405,-1104,1148,0.002374848
142373,4,-202,-1775,711,0.003562272
142373,5,-355,-2916,1266,0.004749696
142373,6,626,-3499,1328,0.005937120
142373,7,562,-4017,952,0.007124544
142373,8,804,-3274,2164,0.008311968
142373,9,432,-2902,2129,0.009499392
142373,10,45,-1924,2500,0.010686816
142373,11,-194,-2194,2233,0.011874240
142373,12,326,-2002,2098,0.013061664
142373,13,-172,-2439,1495,0.014249088
142373,14,-199,-1939,952,0.015436512
142373,15,-289,-2431,1382,0.016623936
142373,16,-125,-2449,1338,0.017811360
142373,17,-406,-3269,1310,0.018998784
142373,18,446,-3445,1774,0.020186208
142373,19,72,-3979,2157,0.021373632
142373,20,76,-4686,1184,0.022561056
142373,21,420,-3520,1608,0.023748480
142373,22,402,-2269,1140,0.024935904
142373,23,800,-2539,588,0.026123328
142373,24,844,-3216,88,0.027310752
142373,25,949,-3605,631,0.028498176
142373,26,385,-4220,1360,0.029685600
142373,27,-95,-4640,1275,0.030873024
142373,28,-6,-4710,2305,0.032060448
142373,29,46,-4571,2158,0.033247872
142373,30,330,-4269,2064,0.034435296
142373,31,-411,-4925,834,0.035622720
142373,32,-305,-5093,1081,0.036810144
142373,33,-15,-5640,325,0.037997568
142373,34,-5,-6378,710,0.039184992
142373,35,-287,-7585,436,0.040372416
142373,36,-41,-7608,718,0.041559840
142373,37,-286,-6774,982,0.042747264
142373,38,-176,-5995,355,0.043934688
142373,39,164,-4882,166,0.045122112
142373,40,152,-4072,-818,0.046309536
142373,41,151,-3749,-1469,0.047496960
142373,42,244,-3845,-2023,0.048684384
142373,43,-11,-3833,-1621,0.049871808
142373,44,-487,-4760,-1653,0.051059232
142373,45,-428,-5889,-794,0.052246656
142373,46,-341,-6125,-423,0.053434080
142373,47,-483,-6159,-112,0.054621504
142373,48,-113,-5157,-180,0.055808928
142373,49,-52,-3850,-640,0.056996352
142373,50,112,-2712,-1110,0.058183776
142373,51,293,-2161,-1762,0.059371200
