sequence,sample,x,y,z,time_s
115912,1,51,-4146,1250,0.000000000
115912,2,553,-3595,741,0.001187424
115912,3,625,-3573,-30,0.002374848
115912,4,38,-4035,347,0.003562272
115912,5,-373,-3604,2012,0.004749696
115912,6,-478,-2375,2396,0.005937120
115912,7,-575,-3327,3197,0.007124544
115912,8,-31,-4684,3009,0.008311968
115912,9,398,-4974,2505,0.009499392
115912,10,580,-4491,1660,0.010686816
115912,11,205,-4049,1654,0.011874240
115912,12,791,-3619,1086,0.013061664
115912,13,473,-3226,1071,0.014249088
115912,14,291,-2311,1095,0.015436512
115912,15,-79,-1753,1184,0.016623936
115912,16,-336,-2309,1520,0.017811360
115912,17,-408,-4548,1722,0.018998784
115912,18,623,-6489,1196,0.020186208
115912,19,533,-8437,1851,0.021373632
115912,20,289,-8992,1065,0.022561056
115912,21,-80,-8878,1850,0.023748480
115912,22,448,-7803,1647,0.024935904
115912,23,117,-6372,2208,0.026123328
115912,24,-261,-5374,1588,0.027310752
115912,25,-794,-4380,1699,0.028498176
115912,26,209,-4313,1061,0.029685600
115912,27,441,-5371,1368,0.030873024
115912,28,300,-6526,-14,0.032060448
115912,29,88,-7017,857,0.033247872
115912,30,-261,-7479,953,0.034435296
115912,31,37,-7666,1140,0.035622720
115912,32,533,-7650,991,0.036810144
115912,33,77,-7037,631,0.037997568
115912,34,-307,-6421,-1053,0.039184992
115912,35,146,-6367,-1329,0.040372416
115912,36,617,-6036,-2220,0.041559840
115912,37,199,-5480,-2170,0.042747264
115912,38,-30,-3820,-2066,0.043934688
115912,39,-487,-3432,-1560,0.045122112
115912,40,-199,-3478,-1075,0.046309536
115912,41,33,-4248,-1425,0.047496960
115912,42,-36,-4698,-1531,0.048684384
115912,43,-159,-5028,-1498,0.049871808
115912,44,-76,-4538,-1594,0.051059232
115912,45,371,-4065,-667,0.052246656
115912,46,-39,-2648,-220,0.053434080
115912,47,-449,-1358,-929,0.054621504
115912,48,-452,-1552,94,0.055808928
115912,49,441,-1980,-441,0.056996352
115912,50,30,-1990,143,0.058183776
115912,51,-172,-2069,-706,0.059371200
115912,52,-256,-3121,546,0.060558624
115912,53,35,-3461,-416,0.061746048
115912,54,18,-4234,711,0.062933472
115912,55,123,-3746,193,0.064120896
115912,56,-417,-4254,1092,0.065308320
115912,57,-287,-4270,648,0.066495744
115912,58,54,-4605,1467,0.067683168
115912,59,370,-3722,1184,0.068870592
115912,60,-307,-4363,1113,0.070058016
