sequence,sample,x,y,z,time_s
95245,1,581,-6170,990,0.000000000
95245,2,100,-3769,1274,0.001187424
95245,3,-306,-1741,273,0.002374848
95245,4,151,-1445,139,0.003562272
95245,5,100,-1850,-91,0.004749696
95245,6,-158,-4201,4,0.005937120
95245,7,44,-7084,-394,0.007124544
95245,8,244,-9885,453,0.008311968
95245,9,673,-11588,839,0.009499392
95245,10,218,-11644,1602,0.010686816
95245,11,13,-9227,2038,0.011874240
95245,12,-187,-5786,1785,0.013061664
95245,13,146,-3109,1224,0.014249088
95245,14,107,-538,-798,0.015436512
95245,15,715,940,-1828,0.016623936
95245,16,654,464,-2123,0.017811360
95245,17,602,-516,-1877,0.018998784
95245,18,41,-772,-691,0.020186208
95245,19,-642,-931,9,0.021373632
95245,20,-894,-1993,1444,0.022561056
95245,21,-161,-6355,15,0.023748480
95245,22,766,-7885,875,0.024935904
95245,23,770,-6989,-873,0.026123328
95245,24,-502,-4614,1537,0.027310752
95245,25,-347,-2713,-388,0.028498176
95245,26,281,-648,-251,0.029685600
95245,27,-104,-111,-172,0.030873024
95245,28,451,-970,-2012,0.032060448
95245,29,252,-1618,-368,0.033247872
95245,30,-523,-2446,-628,0.034435296
95245,31,165,-3685,456,0.035622720
95245,32,754,-4000,537,0.036810144
95245,33,373,-3484,1564,0.037997568
95245,34,233,-3735,924,0.039184992
95245,35,794,-3834,756,0.040372416
95245,36,65,-2915,1351,0.041559840
95245,37,152,-1990,-457,0.042747264
95245,38,384,-1126,863,0.043934688
95245,39,189,10,-70,0.045122112
95245,40,115,156,178,0.046309536
95245,41,157,139,-98,0.047496960
95245,42,-464,20,628,0.048684384
95245,43,-561,-15,466,0.049871808
95245,44,385,-760,664,0.051059232
95245,45,533,-2955,783,0.052246656
95245,46,789,-5891,38,0.053434080
95245,47,1205,-7767,-64,0.054621504
95245,48,354,-6061,1190,0.055808928
95245,49,-798,-2742,3113,0.056996352
95245,50,-686,-685,2025,0.058183776
95245,51,239,117,1370,0.059371200
95245,52,616,145,396,0.060558624
95245,53,493,-1024,-921,0.061746048
95245,54,16,-3140,-710,0.062933472
95245,55,-456,-5942,-60,0.064120896
95245,56,29,-7795,1061,0.065308320
95245,57,81,-9483,1710,0.066495744
95245,58,566,-8891,3483,0.067683168
95245,59,49,-6248,3055,0.068870592
95245,60,-275,-4361,3126,0.070058016
95245,61,-285,-2901,1897,0.071245440
95245,62,737,-1985,-349,0.072432864
95245,63,541,-1640,-292,0.073620288
95245,64,228,-1926,-993,0.074807712
95246,1,-207,-2955,-553,0.075995136
95246,2,-1045,-6087,261,0.077182560
95246,3,-764,-8055,1124,0.078369984
95246,4,-322,-9784,845,0.079557408
95246,5,116,-11301,2475,0.080744832
95246,6,382,-11351,1183,0.081932256
95246,7,306,-9497,1273,0.083119680
95246,8,38,-8122,1154,0.084307104
95246,9,238,-5801,-168,0.085494528
95246,10,-40,-3966,-583,0.086681952
95246,11,-27,-3933,-713,0.087869376
95246,12,403,-4834,-606,0.089056800
95246,13,33,-6282,316,0.090244224
95246,14,-237,-7217,923,0.091431648
95246,15,-240,-8028,1411,0.092619072
95246,16,246,-6938,1406,0.093806496
95246,17,307,-6274,1071,0.094993920
95246,18,1136,-5530,-372,0.096181344
95246,19,355,-4292,-510,0.097368768
95246,20,-132,-3191,-1664,0.098556192
95246,21,-203,-3225,-1262,0.099743616
95246,22,-200,-3995,-1592,0.100931040
95246,23,-238,-3545,-452,0.102118464
95246,24,-348,-3002,-543,0.103305888
95246,25,-87,-3325,454,0.104493312
95246,26,20,-4214,320,0.105680736
95246,27,820,-3288,-53,0.106868160
95246,28,648,-4115,-28,0.108055584
95246,29,800,-4885,-464,0.109243008
95246,30,482,-4284,-612,0.110430432
95246,31,-268,-2835,219,0.111617856
95246,32,-121,-2784,304,0.112805280
95246,33,100,-3305,775,0.113992704
95246,34,53,-3874,984,0.115180128
95246,35,427,-3694,1317,0.116367552
95246,36,588,-2437,1366,0.117554976
95246,37,-3,-1644,1350,0.118742400
95246,38,562,-1148,652,0.119929824
95246,39,1091,-733,675,0.121117248
95246,40,458,-423,170,0.122304672
95246,41,-46,-267,200,0.123492096
95246,42,197,-340,729,0.124679520
95246,43,-302,-715,1146,0.125866944
95246,44,-238,-2316,874,0.127054368
95246,45,287,-3900,764,0.128241792
95246,46,975,-5631,832,0.129429216
95246,47,116,-6301,470,0.130616640
95246,48,80,-4568,1206,0.131804064
95246,49,-119,-2816,1459,0.132991488
95246,50,-81,-1322,1547,0.134178912
95246,51,67,-1579,-111,0.135366336
95246,52,806,-1746,351,0.136553760
95246,53,286,-2687,502,0.137741184
95246,54,-202,-4175,284,0.138928608
95246,55,325,-6084,1891,0.140116032
95246,56,262,-6856,2391,0.141303456
95246,57,297,-5910,2715,0.142490880
95246,58,212,-4325,1962,0.143678304
95246,59,304,-3010,2569,0.144865728
95246,60,-93,-2651,1049,0.146053152
95246,61,264,-2586,-671,0.147240576
95246,62,146,-3314,340,0.148428000
95246,63,94,-5562,-1317,0.149615424
95246,64,-148,-8368,-137,0.150802848
95247,1,-217,-9740,-166,0.151990272
95247,2,129,-9713,1913,0.153177696
95247,3,-346,-9036,1322,0.154365120
95247,4,207,-7786,1860,0.155552544
95247,5,471,-5621,1058,0.156739968
95247,6,254,-3664,262,0.157927392
95247,7,24,-1963,-1380,0.159114816
95247,8,480,-1224,-1314,0.160302240
95247,9,194,-885,-2050,0.161489664
95247,10,-376,-2470,-1413,0.162677088
95247,11,-298,-4148,154,0.163864512
95247,12,-498,-6295,32,0.165051936
95247,13,-604,-8186,1021,0.166239360
95247,14,122,-7759,418,0.167426784
95247,15,524,-6059,348,0.168614208
95247,16,418,-4523,-416,0.169801632
95247,17,559,-3011,-1357,0.170989056
95247,18,342,-1213,-1550,0.172176480
95247,19,71,58,-1402,0.173363904
95247,20,-163,-328,-2090,0.174551328
95247,21,-134,-1000,-789,0.175738752
95247,22,-368,-1480,-682,0.176926176
95247,23,-375,-3084,961,0.178113600
95247,24,-122,-4305,481,0.179301024
95247,25,267,-5966,1032,0.180488448
95247,26,671,-7162,728,0.181675872
95247,27,722,-8080,1081,0.182863296
95247,28,465,-6715,1261,0.184050720
95247,29,-88,-5163,1311,0.185238144
95247,30,-110,-3607,1506,0.186425568
95247,31,-274,-2533,1503,0.187612992
95247,32,-57,-2019,870,0.188800416
