sequence,sample,x,y,z,time_s
45616,1,384,-11187,2588,0.000000000
45616,2,2006,-12987,1577,0.001187424
45616,3,-794,-7001,2159,0.002374848
45616,4,-1846,-2980,2698,0.003562272
45616,5,281,-1382,767,0.004749696
45616,6,1230,-586,617,0.005937120
45616,7,1048,420,-2928,0.007124544
45616,8,647,-223,-1671,0.008311968
45616,9,201,-1403,-1472,0.009499392
45616,10,-911,-1821,511,0.010686816
45616,11,-691,-4409,1026,0.011874240
45616,12,323,-6371,1570,0.013061664
45616,13,51,-6951,1393,0.014249088
45616,14,-356,-5361,937,0.015436512
45616,15,-343,-3433,1777,0.016623936
45616,16,-358,-1885,-444,0.017811360
45616,17,257,-1835,-318,0.018998784
45616,18,1038,-2085,-2680,0.020186208
45616,19,896,-1442,-1035,0.021373632
45616,20,-700,-1525,-1933,0.022561056
45616,21,-780,-2094,-51,0.023748480
45616,22,-294,-4161,648,0.024935904
45616,23,-101,-6115,943,0.026123328
45616,24,580,-8050,1187,0.027310752
45616,25,739,-8275,1088,0.028498176
45616,26,-138,-7521,1648,0.029685600
45616,27,-195,-6001,662,0.030873024
45616,28,44,-5322,1408,0.032060448
45616,29,511,-4157,726,0.033247872
45616,30,118,-3475,143,0.034435296
45616,31,71,-3312,205,0.035622720
45616,32,0,-4699,844,0.036810144
45616,33,-96,-6193,1302,0.037997568
45616,34,-193,-7549,764,0.039184992
45616,35,229,-8699,2162,0.040372416
45616,36,635,-8210,1698,0.041559840
45616,37,96,-7352,1514,0.042747264
45616,38,295,-5942,1229,0.043934688
45616,39,87,-5048,755,0.045122112
45616,40,186,-3324,-257,0.046309536
45616,41,13,-2398,-208,0.047496960
45616,42,585,-1888,-1007,0.048684384
45616,43,179,-2782,-4,0.049871808
45616,44,-84,-4219,-907,0.051059232
45616,45,25,-5775,800,0.052246656
45616,46,144,-7359,121,0.053434080
45616,47,48,-8125,1627,0.054621504
45616,48,323,-7035,882,0.055808928
45616,49,233,-4592,2063,0.056996352
45616,50,-311,-3941,969,0.058183776
45616,51,227,-3321,86,0.059371200
45616,52,584,-2422,135,0.060558624
45616,53,265,-1688,-354,0.061746048
45616,54,-256,-2926,-452,0.062933472
45616,55,300,-4407,547,0.064120896
45616,56,166,-5569,1377,0.065308320
45616,57,-165,-6045,1653,0.066495744
45616,58,-205,-6210,1881,0.067683168
45616,59,252,-5652,2026,0.068870592
45616,60,298,-4865,1219,0.070058016
45616,61,478,-3706,525,0.071245440
45616,62,424,-2432,111,0.072432864
45616,63,182,-1647,-74,0.073620288
45616,64,160,-1883,-554,0.074807712
45617,1,194,-2527,262,0.075995136
45617,2,166,-3115,439,0.077182560
45617,3,105,-4279,663,0.078369984
45617,4,319,-4473,1356,0.079557408
45617,5,408,-4387,1102,0.080744832
45617,6,366,-4743,954,0.081932256
45617,7,516,-4426,593,0.083119680
45617,8,173,-2799,611,0.084307104
45617,9,-159,-1876,-261,0.085494528
45617,10,21,-2298,349,0.086681952
45617,11,97,-3146,-158,0.087869376
45617,12,-289,-4253,688,0.089056800
45617,13,-161,-4437,616,0.090244224
45617,14,-364,-5998,1489,0.091431648
45617,15,126,-7680,1220,0.092619072
45617,16,423,-8098,1503,0.093806496
45617,17,223,-6882,1478,0.094993920
45617,18,-335,-6253,1617,0.096181344
45617,19,106,-5031,972,0.097368768
45617,20,-162,-3882,1122,0.098556192
45617,21,-159,-3381,362,0.099743616
45617,22,-61,-3888,-304,0.100931040
45617,23,-29,-5109,550,0.102118464
45617,24,-15,-6553,83,0.103305888
45617,25,21,-8318,1046,0.104493312
45617,26,-89,-8341,980,0.105680736
45617,27,-154,-7250,1753,0.106868160
45617,28,203,-5637,665,0.108055584
45617,29,122,-3807,1208,0.109243008
45617,30,253,-1514,-742,0.110430432
45617,31,46,28,-667,0.111617856
45617,32,562,881,-2294,0.112805280
45617,33,251,37,-1530,0.113992704
45617,34,59,-298,-1999,0.115180128
45617,35,85,-396,5,0.116367552
45617,36,-332,-642,-1012,0.117554976
45617,37,-590,-1691,1198,0.118742400
45617,38,144,-6525,-1774,0.119929824
45617,39,1590,-7827,475,0.121117248
45617,40,335,-4562,433,0.122304672
45617,41,-691,367,1425,0.123492096
45617,42,-1045,1668,1285,0.124679520
45617,43,386,1249,-368,0.125866944
45617,44,1670,1347,-1357,0.127054368
45617,45,1249,1136,-2616,0.128241792
45617,46,-252,415,-632,0.129429216
45617,47,-541,-6,1847,0.130616640
45617,48,-451,-287,-328,0.131804064
45617,49,-23,-1038,2609,0.132991488
45617,50,621,-1958,73,0.134178912
45617,51,67,-8025,513,0.135366336
45617,52,1122,-8444,4359,0.136553760
45617,53,191,-5674,965,0.137741184
45617,54,-1458,-566,3593,0.138928608
45617,55,-1849,853,2222,0.140116032
45617,56,2497,-657,-996,0.141303456
45617,57,1943,-2884,596,0.142490880
45617,58,70,-4945,-1592,0.143678304
45617,59,-236,-7774,1970,0.144865728
45617,60,-1181,-8421,873,0.146053152
45617,61,-358,-9498,4967,0.147240576
45617,62,534,-9300,2854,0.148428000
45617,63,829,-8755,3715,0.149615424
45617,64,-48,-6826,2530,0.150802848
45618,1,-256,-3686,1581,0.151990272
45618,2,-126,-4108,1750,0.153177696
45618,3,381,-5837,-212,0.154365120
45618,4,467,-6845,479,0.155552544
45618,5,679,-7291,-1356,0.156739968
45618,6,634,-9354,2193,0.157927392
45618,7,-3,-10290,204,0.159114816
45618,8,-560,-11274,2839,0.160302240
45618,9,142,-12704,2140,0.161489664
45618,10,820,-12134,2156,0.162677088
45618,11,545,-9940,873,0.163864512
45618,12,284,-5955,408,0.165051936
45618,13,-46,-2866,-897,0.166239360
45618,14,-169,-1092,-1876,0.167426784
45618,15,509,-213,-1876,0.168614208
45618,16,357,-427,-1709,0.169801632
45618,17,-662,-1304,-550,0.170989056
45618,18,-1304,-3426,-1545,0.172176480
45618,19,-208,-5954,-484,0.173363904
45618,20,-196,-7663,-661,0.174551328
45618,21,172,-8920,-829,0.175738752
45618,22,212,-8220,-804,0.176926176
45618,23,343,-5720,56,0.178113600
45618,24,-41,-3596,-163,0.179301024
45618,25,57,-2427,-560,0.180488448
45618,26,359,-1436,-1087,0.181675872
45618,27,43,-1132,-1302,0.182863296
45618,28,-110,-1032,-1271,0.184050720
45618,29,52,-1072,-397,0.185238144
45618,30,-121,-1850,647,0.186425568
45618,31,-335,-2891,1556,0.187612992
45618,32,-256,-3536,1668,0.188800416
45618,33,-100,-3721,2381,0.189987840
45618,34,29,-2884,1679,0.191175264
45618,35,100,-1081,732,0.192362688
45618,36,453,347,353,0.193550112
45618,37,968,251,-807,0.194737536
45618,38,941,-278,-608,0.195924960
45618,39,415,-365,-891,0.197112384
45618,40,473,-235,447,0.198299808
45618,41,263,-351,385,0.199487232
45618,42,469,-81,1270,0.200674656
45618,43,580,-99,1580,0.201862080
45618,44,432,-315,852,0.203049504
45618,45,200,-1355,862,0.204236928
45618,46,93,-2524,609,0.205424352
45618,47,491,-2812,1325,0.206611776
45618,48,-235,-3526,717,0.207799200
45618,49,-474,-3302,2384,0.208986624
45618,50,-267,-4262,1228,0.210174048
45618,51,479,-5275,2900,0.211361472
45618,52,-6,-5951,1792,0.212548896
45618,53,219,-6730,2178,0.213736320
45618,54,464,-7263,1763,0.214923744
45618,55,325,-6416,2199,0.216111168
45618,56,598,-5749,1923,0.217298592
45618,57,705,-5921,1714,0.218486016
45618,58,-379,-5877,2380,0.219673440
45618,59,-655,-5297,1678,0.220860864
45618,60,-273,-5088,3049,0.222048288
45618,61,-554,-4898,3026,0.223235712
45618,62,-584,-5071,1977,0.224423136
45618,63,-277,-5050,918,0.225610560
45618,64,130,-5007,1520,0.226797984
45619,1,109,-4452,-300,0.227985408
45619,2,-58,-5267,-674,0.229172832
45619,3,133,-6796,-588,0.230360256
45619,4,169,-7734,-774,0.231547680
45619,5,170,-8304,-1223,0.232735104
45619,6,13,-8815,381,0.233922528
45619,7,-74,-8246,-319,0.235109952
45619,8,-425,-6186,475,0.236297376
45619,9,-166,-4048,-214,0.237484800
45619,10,288,-2536,-72,0.238672224
45619,11,304,-908,-1770,0.239859648
45619,12,446,123,-1589,0.241047072
45619,13,505,-51,-2601,0.242234496
45619,14,107,-1071,-1042,0.243421920
45619,15,-480,-1500,-1354,0.244609344
45619,16,-875,-4264,356,0.245796768
45619,17,125,-7016,-337,0.246984192
45619,18,-185,-8356,1017,0.248171616
45619,19,524,-8128,344,0.249359040
45619,20,259,-6685,654,0.250546464
45619,21,864,-4467,-265,0.251733888
45619,22,407,-2796,-12,0.252921312
45619,23,628,-2190,-1884,0.254108736
45619,24,501,-1818,-1043,0.255296160
45619,25,-90,-1844,-1198,0.256483584
45619,26,-202,-2256,-511,0.257671008
45619,27,-205,-4207,223,0.258858432
45619,28,-3,-5630,1288,0.260045856
45619,29,121,-5259,1466,0.261233280
45619,30,-14,-5375,1863,0.262420704
45619,31,312,-5524,2181,0.263608128
45619,32,637,-5227,1089,0.264795552
45619,33,624,-3678,897,0.265982976
45619,34,277,-3063,343,0.267170400
45619,35,310,-3356,62,0.268357824
45619,36,129,-3987,973,0.269545248
45619,37,72,-3967,1096,0.270732672
45619,38,-115,-3602,2135,0.271920096
45619,39,-114,-3655,1396,0.273107520
45619,40,456,-3533,1979,0.274294944
45619,41,992,-3040,1122,0.275482368
45619,42,790,-1830,709,0.276669792
45619,43,260,-1222,165,0.277857216
45619,44,635,-1746,292,0.279044640
45619,45,352,-2273,447,0.280232064
45619,46,-62,-3120,269,0.281419488
45619,47,113,-4444,1134,0.282606912
45619,48,261,-5551,1441,0.283794336
45619,49,440,-6389,1517,0.284981760
45619,50,500,-7178,2198,0.286169184
45619,51,574,-6859,1952,0.287356608
45619,52,222,-6712,2214,0.288544032
45619,53,158,-6385,1889,0.289731456
45619,54,185,-5129,1999,0.290918880
45619,55,-48,-4205,1823,0.292106304
45619,56,-551,-3475,1403,0.293293728
45619,57,75,-3008,1305,0.294481152
45619,58,130,-3088,1401,0.295668576
45619,59,-29,-3924,1414,0.296856000
45619,60,-255,-4444,859,0.298043424
45619,61,-243,-4624,1384,0.299230848
45619,62,-301,-5171,766,0.300418272
45619,63,-7,-4722,218,0.301605696
45619,64,-154,-4253,-17,0.302793120
45620,1,-201,-3222,-672,0.303980544
45620,2,-362,-3362,-997,0.305167968
45620,3,-231,-2973,-850,0.306355392
45620,4,-427,-2877,-1123,0.307542816
45620,5,-392,-2265,-844,0.308730240
45620,6,-339,-1718,-871,0.309917664
45620,7,-229,-996,-700,0.311105088
45620,8,132,-720,-950,0.312292512
45620,9,-16,-467,-923,0.313479936
45620,10,69,-488,-1273,0.314667360
45620,11,140,-1746,-941,0.315854784
45620,12,296,-3063,-927,0.317042208
45620,13,4,-4954,-534,0.318229632
45620,14,73,-6395,-264,0.319417056
45620,15,-21,-6832,850,0.320604480
45620,16,-9,-6268,653,0.321791904
45620,17,83,-5353,1507,0.322979328
45620,18,474,-3968,373,0.324166752
45620,19,305,-2687,718,0.325354176
45620,20,363,-1844,-740,0.326541600
45620,21,543,-1216,-357,0.327729024
45620,22,269,-1086,-725,0.328916448
45620,23,-30,-2647,-265,0.330103872
45620,24,40,-4703,268,0.331291296
45620,25,126,-5548,1212,0.332478720
45620,26,-114,-6626,1279,0.333666144
45620,27,195,-7575,2000,0.334853568
45620,28,774,-7062,1548,0.336040992
45620,29,527,-5726,1790,0.337228416
45620,30,570,-4803,509,0.338415840
45620,31,562,-4206,695,0.339603264
45620,32,366,-4197,101,0.340790688
45620,33,133,-4735,624,0.341978112
45620,34,-25,-5119,1084,0.343165536
45620,35,-318,-6582,1887,0.344352960
45620,36,64,-7492,2376,0.345540384
45620,37,206,-7283,2749,0.346727808
45620,38,96,-7080,2584,0.347915232
45620,39,367,-7574,2378,0.349102656
45620,40,680,-7124,1737,0.350290080
45620,41,320,-6135,1753,0.351477504
45620,42,201,-5859,1363,0.352664928
45620,43,371,-4813,1201,0.353852352
45620,44,171,-4144,1287,0.355039776
45620,45,521,-3326,925,0.356227200
45620,46,630,-2983,738,0.357414624
45620,47,526,-1905,579,0.358602048
45620,48,370,-2155,-85,0.359789472
45620,49,486,-2543,-439,0.360976896
45620,50,73,-3130,-459,0.362164320
45620,51,46,-3121,-912,0.363351744
45620,52,-278,-3150,-245,0.364539168
45620,53,-531,-3501,-582,0.365726592
45620,54,-317,-3787,237,0.366914016
45620,55,-33,-4002,-210,0.368101440
45620,56,33,-3242,434,0.369288864
45620,57,65,-3138,-289,0.370476288
45620,58,386,-3606,171,0.371663712
45620,59,520,-4214,-236,0.372851136
45620,60,251,-4417,156,0.374038560
45620,61,-175,-4039,500,0.375225984
45620,62,-199,-3434,774,0.376413408
45620,63,-333,-2630,1146,0.377600832
45620,64,-250,-3472,493,0.378788256
45621,1,51,-3028,794,0.379975680
45621,2,-474,-2475,155,0.381163104
45621,3,-472,-2009,32,0.382350528
45621,4,-371,-3972,-233,0.383537952
45621,5,-43,-4995,-30,0.384725376
45621,6,-374,-5365,-42,0.385912800
45621,7,-514,-5311,279,0.387100224
45621,8,-435,-5127,888,0.388287648
45621,9,100,-4867,346,0.389475072
45621,10,275,-3486,632,0.390662496
45621,11,384,-2643,-458,0.391849920
45621,12,706,-1019,-261,0.393037344
45621,13,443,-213,-816,0.394224768
45621,14,465,144,-964,0.395412192
45621,15,402,-166,-538,0.396599616
45621,16,109,-384,-665,0.397787040
45621,17,27,-737,867,0.398974464
45621,18,6,-1636,-12,0.400161888
45621,19,-444,-3438,914,0.401349312
45621,20,299,-5631,332,0.402536736
45621,21,512,-6093,939,0.403724160
45621,22,43,-5433,2000,0.404911584
45621,23,-154,-4211,920,0.406099008
45621,24,312,-3856,1808,0.407286432
45621,25,585,-4844,960,0.408473856
45621,26,860,-4950,350,0.409661280
45621,27,742,-4898,1072,0.410848704
45621,28,337,-4209,1096,0.412036128
45621,29,219,-4980,1577,0.413223552
45621,30,736,-4864,1218,0.414410976
45621,31,476,-4949,2044,0.415598400
45621,32,420,-4283,1058,0.416785824
45621,33,113,-4066,1804,0.417973248
45621,34,-35,-3598,1422,0.419160672
