sequence,sample,x,y,z,time_s
976,1,128,-4087,555,0.000000000
976,2,118,-4101,565,0.001187424
976,3,117,-4118,535,0.002374848
976,4,137,-4132,548,0.003562272
976,5,113,-4128,512,0.004749696
976,6,147,-4112,545,0.005937120
976,7,157,-4127,470,0.007124544
976,8,146,-4130,529,0.008311968
976,9,141,-4146,499,0.009499392
976,10,104,-4136,572,0.010686816
976,11,106,-4123,528,0.011874240
976,12,92,-4077,573,0.013061664
976,13,125,-4077,525,0.014249088
976,14,163,-4119,459,0.015436512
976,15,184,-4124,480,0.016623936
976,16,165,-4140,457,0.017811360
976,17,155,-4122,487,0.018998784
976,18,122,-4131,538,0.020186208
976,19,127,-4126,558,0.021373632
976,20,130,-4121,512,0.022561056
976,21,130,-4126,541,0.023748480
976,22,136,-4104,486,0.024935904
976,23,143,-4122,472,0.026123328
976,24,144,-4126,476,0.027310752
976,25,128,-4129,509,0.028498176
976,26,133,-4144,487,0.029685600
976,27,109,-4147,535,0.030873024
976,28,116,-4130,531,0.032060448
976,29,110,-4115,515,0.033247872
976,30,125,-4119,483,0.034435296
976,31,144,-4142,463,0.035622720
976,32,182,-4134,404,0.036810144
976,33,156,-4144,450,0.037997568
976,34,150,-4122,458,0.039184992
976,35,124,-4126,502,0.040372416
976,36,110,-4130,540,0.041559840
976,37,126,-4135,575,0.042747264
976,38,116,-4113,502,0.043934688
976,39,135,-4115,521,0.045122112
976,40,139,-4124,412,0.046309536
976,41,156,-4134,461,0.047496960
976,42,133,-4134,457,0.048684384
976,43,121,-4131,530,0.049871808
976,44,101,-4120,504,0.051059232
976,45,108,-4134,548,0.052246656
976,46,116,-4115,534,0.053434080
976,47,123,-4147,457,0.054621504
976,48,137,-4130,481,0.055808928
976,49,157,-4126,433,0.056996352
976,50,142,-4108,433,0.058183776
976,51,112,-4113,461,0.059371200
976,52,119,-4119,517,0.060558624
976,53,131,-4127,527,0.061746048
976,54,128,-4149,571,0.062933472
976,55,145,-4114,483,0.064120896
976,56,119,-4113,550,0.065308320
976,57,143,-4130,450,0.066495744
976,58,133,-4115,493,0.067683168
976,59,112,-4124,470,0.068870592
976,60,90,-4129,570,0.070058016
976,61,97,-4119,538,0.071245440
976,62,106,-4116,536,0.072432864
976,63,132,-4133,564,0.073620288
976,64,123,-4127,492,0.074807712
977,1,140,-4134,458,0.075995136
977,2,137,-4125,478,0.077182560
977,3,134,-4108,513,0.078369984
977,4,140,-4095,485,0.079557408
977,5,134,-4122,528,0.080744832
977,6,114,-4122,571,0.081932256
977,7,108,-4111,530,0.083119680
977,8,133,-4087,549,0.084307104
977,9,153,-4103,504,0.085494528
977,10,165,-4108,536,0.086681952
977,11,132,-4118,504,0.087869376
977,12,139,-4136,567,0.089056800
977,13,97,-4120,558,0.090244224
977,14,85,-4108,589,0.091431648
977,15,106,-4092,561,0.092619072
977,16,147,-4116,539,0.093806496
977,17,166,-4133,547,0.094993920
977,18,157,-4148,490,0.096181344
977,19,153,-4148,515,0.097368768
977,20,130,-4113,532,0.098556192
977,21,128,-4110,513,0.099743616
977,22,123,-4113,524,0.100931040
977,23,130,-4119,576,0.102118464
977,24,148,-4114,518,0.103305888
977,25,157,-4114,566,0.104493312
977,26,151,-4113,537,0.105680736
977,27,157,-4124,548,0.106868160
977,28,144,-4123,540,0.108055584
977,29,143,-4121,600,0.109243008
977,30,102,-4115,578,0.110430432
977,31,111,-4121,573,0.111617856
977,32,151,-4122,609,0.112805280
977,33,160,-4141,514,0.113992704
977,34,181,-4141,570,0.115180128
977,35,178,-4153,468,0.116367552
977,36,178,-4140,566,0.117554976
977,37,145,-4124,506,0.118742400
977,38,126,-4098,543,0.119929824
977,39,129,-4112,561,0.121117248
977,40,140,-4122,532,0.122304672
977,41,156,-4105,538,0.123492096
977,42,169,-4129,488,0.124679520
977,43,175,-4145,561,0.125866944
977,44,173,-4142,501,0.127054368
977,45,155,-4121,585,0.128241792
977,46,116,-4120,585,0.129429216
977,47,104,-4110,619,0.130616640
977,48,112,-4113,558,0.131804064
977,49,118,-4106,584,0.132991488
977,50,169,-4115,531,0.134178912
977,51,175,-4122,537,0.135366336
977,52,194,-4140,510,0.136553760
977,53,175,-4131,555,0.137741184
977,54,162,-4141,524,0.138928608
977,55,120,-4125,570,0.140116032
977,56,128,-4108,584,0.141303456
977,57,126,-4118,517,0.142490880
977,58,151,-4094,545,0.143678304
977,59,178,-4098,493,0.144865728
977,60,174,-4120,546,0.146053152
977,61,139,-4126,478,0.147240576
977,62,128,-4117,599,0.148428000
977,63,104,-4136,582,0.149615424
977,64,96,-4116,582,0.150802848
978,1,111,-4110,617,0.151990272
978,2,142,-4141,565,0.153177696
978,3,155,-4123,508,0.154365120
978,4,148,-4138,487,0.155552544
978,5,156,-4133,494,0.156739968
978,6,145,-4129,514,0.157927392
978,7,130,-4112,508,0.159114816
978,8,125,-4137,606,0.160302240
978,9,115,-4117,552,0.161489664
978,10,126,-4099,527,0.162677088
978,11,127,-4090,499,0.163864512
978,12,149,-4106,492,0.165051936
978,13,172,-4131,461,0.166239360
978,14,152,-4147,503,0.167426784
978,15,136,-4144,521,0.168614208
