sequence,sample,x,y,z,time_s
29803,1,597,1035,-528,0.000000000
29803,2,396,773,1045,0.001187424
29803,3,-58,3396,-364,0.002374848
29803,4,-333,8686,396,0.003562272
29803,5,-2042,10707,137,0.004749696
29803,6,745,5367,-1122,0.005937120
29803,7,2871,847,-5805,0.007124544
29803,8,-522,-2308,464,0.008311968
29803,9,-1976,-2140,-784,0.009499392
29803,10,204,-163,828,0.010686816
29803,11,228,-323,-2561,0.011874240
29803,12,2279,-1471,1545,0.013061664
29803,13,3881,-7391,-5578,0.014249088
29803,14,1543,-11797,-1230,0.015436512
29803,15,1347,-11563,-742,0.016623936
29803,16,-760,-6151,4079,0.017811360
29803,17,852,-4928,1363,0.018998784
29803,18,1188,-6857,5161,0.020186208
29803,19,2935,-7702,-57,0.021373632
29803,20,3974,-7795,1580,0.022561056
29803,21,-150,-4473,6193,0.023748480
29803,22,-1413,-4371,5296,0.024935904
29803,23,-264,-6738,6084,0.026123328
29803,24,-1713,-8450,5126,0.027310752
29803,25,-901,-7538,4595,0.028498176
29803,26,634,-6893,-124,0.029685600
29803,27,-923,-8033,2102,0.030873024
29803,28,-2774,-11271,840,0.032060448
29803,29,-1515,-13475,272,0.033247872
29803,30,-397,-15365,-1991,0.034435296
29803,31,-451,-17216,201,0.035622720
29803,32,-884,-17449,-1878,0.036810144
29803,33,-2288,-15360,586,0.037997568
29803,34,-3116,-13356,-164,0.039184992
29803,35,-1751,-11123,1150,0.040372416
29803,36,-636,-9843,431,0.041559840
29803,37,1043,-9481,360,0.042747264
29803,38,-91,-8417,-1991,0.043934688
29803,39,1385,-7051,-2633,0.045122112
29803,40,1023,-5565,1138,0.046309536
29803,41,811,-3549,-84,0.047496960
29803,42,253,-4154,524,0.048684384
29803,43,490,-5337,541,0.049871808
29803,44,-119,-5216,2801,0.051059232
29803,45,76,-3182,128,0.052246656
29803,46,331,-2897,-369,0.053434080
29803,47,800,-2706,-2001,0.054621504
29803,48,1225,-2344,-2436,0.055808928
29803,49,1531,-1681,-3445,0.056996352
29803,50,1994,-102,-3087,0.058183776
29803,51,730,-324,-2967,0.059371200
29803,52,735,-552,-1842,0.060558624
29803,53,1475,-942,-3700,0.061746048
29803,54,1406,-1176,-579,0.062933472
29803,55,-127,-885,-1734,0.064120896
29803,56,164,-1104,-169,0.065308320
29803,57,-129,-3312,-1922,0.066495744
29803,58,461,-5820,-128,0.067683168
29803,59,1268,-7526,-1073,0.068870592
29803,60,1404,-7205,8,0.070058016
29803,61,1064,-4925,19,0.071245440
29803,62,1286,-2157,2017,0.072432864
29803,63,1270,-227,2210,0.073620288
29803,64,1940,455,2526,0.074807712
29804,1,3048,-1629,1181,0.075995136
29804,2,1318,-2260,3377,0.077182560
29804,3,-773,-2254,3301,0.078369984
29804,4,-1216,-1256,6179,0.079557408
29804,5,-1499,-2031,3757,0.080744832
29804,6,-1138,-2503,5774,0.081932256
29804,7,-729,-2016,2941,0.083119680
29804,8,-669,-1614,3222,0.084307104
29804,9,-1305,-1690,819,0.085494528
