sequence,sample,x,y,z,time_s
141509,1,-839,-12471,2737,0.000000000
141509,2,-968,-9601,4945,0.001187424
141509,3,-1391,-7111,3257,0.002374848
141509,4,-331,-6043,2502,0.003562272
141509,5,-31,-4501,-269,0.004749696
141509,6,-296,-3219,-413,0.005937120
141509,7,-432,-3393,-1660,0.007124544
141509,8,338,-6784,-1983,0.008311968
141509,9,-411,-8538,-648,0.009499392
141509,10,-923,-10523,-3319,0.010686816
141509,11,-873,-10930,-1276,0.011874240
141509,12,713,-11462,-4315,0.013061664
141509,13,1397,-12554,-2217,0.014249088
141509,14,985,-14480,-4591,0.015436512
141509,15,829,-14516,-2440,0.016623936
141509,16,-5,-13056,-1897,0.017811360
141509,17,-533,-11317,369,0.018998784
141509,18,-1371,-9966,-354,0.020186208
141509,19,-203,-8736,-375,0.021373632
141509,20,164,-7116,-246,0.022561056
141509,21,520,-5109,-911,0.023748480
141509,22,567,-3622,82,0.024935904
141509,23,-268,-2568,20,0.026123328
141509,24,-512,-2009,279,0.027310752
141509,25,-385,-2528,731,0.028498176
141509,26,88,-3252,1059,0.029685600
141509,27,-146,-3921,-116,0.030873024
141509,28,80,-4081,-1556,0.032060448
141509,29,-248,-3436,-10,0.033247872
141509,30,-871,-2930,-1115,0.034435296
141509,31,671,-3739,-736,0.035622720
141509,32,1757,-2690,-2467,0.036810144
141509,33,1279,-2547,-1520,0.037997568
141509,34,746,-2816,-419,0.039184992
141509,35,583,-1286,-524,0.040372416
141509,36,30,-356,1111,0.041559840
141509,37,-1375,-19,681,0.042747264
141509,38,190,114,1516,0.043934688
141509,39,382,277,141,0.045122112
141509,40,-591,711,1110,0.046309536
141509,41,-159,384,2024,0.047496960
141509,42,-355,-1010,3517,0.048684384
141509,43,-175,-3213,2448,0.049871808
141509,44,479,-6336,2966,0.051059232
141509,45,1264,-9067,3768,0.052246656
141509,46,553,-6984,4689,0.053434080
141509,47,-98,-2750,3981,0.054621504
141509,48,-60,-981,3550,0.055808928
141509,49,687,-1448,3616,0.056996352
141509,50,748,-343,1756,0.058183776
141509,51,347,167,1483,0.059371200
141509,52,-624,615,1444,0.060558624
141509,53,-1444,1325,2673,0.061746048
141509,54,-1189,1238,3847,0.062933472
141509,55,-1183,893,3985,0.064120896
141509,56,-740,599,3489,0.065308320
141509,57,-424,1352,1858,0.066495744
141509,58,141,2036,1211,0.067683168
141509,59,84,1874,900,0.068870592
141509,60,277,239,-811,0.070058016
141509,61,639,-418,-406,0.071245440
141509,62,402,-1127,-395,0.072432864
141509,63,62,-1825,-2479,0.073620288
141509,64,-793,-1939,-914,0.074807712
141510,1,-634,-5870,-1894,0.075995136
141510,2,2247,-13776,-1690,0.077182560
141510,3,-926,-13951,812,0.078369984
141510,4,-1814,-9467,507,0.079557408
141510,5,-3256,-6053,2426,0.080744832
141510,6,-1076,-5028,2020,0.081932256
141510,7,1093,-6816,-2139,0.083119680
141510,8,1150,-8496,-1557,0.084307104
141510,9,2087,-7244,-1354,0.085494528
141510,10,605,-3685,35,0.086681952
141510,11,-1162,-2262,-370,0.087869376
141510,12,-305,-2473,2221,0.089056800
141510,13,944,-2407,1622,0.090244224
141510,14,-705,-389,601,0.091431648
141510,15,43,455,-1426,0.092619072
141510,16,-82,754,-1613,0.093806496
141510,17,-483,-61,-2995,0.094993920
141510,18,604,34,-1820,0.096181344
141510,19,920,-265,-2639,0.097368768
141510,20,-620,-520,-1988,0.098556192
141510,21,-1788,-1644,-2000,0.099743616
141510,22,483,-3873,-2053,0.100931040
141510,23,2713,-5200,-3836,0.102118464
141510,24,2843,-6661,-3451,0.103305888
141510,25,1653,-6537,-3085,0.104493312
141510,26,1240,-5569,-973,0.105680736
141510,27,-289,-3292,-1819,0.106868160
141510,28,-1538,-2965,-92,0.108055584
141510,29,-364,-4601,55,0.109243008
141510,30,1163,-6110,-596,0.110430432
141510,31,898,-6262,-1193,0.111617856
141510,32,958,-6338,2628,0.112805280
141510,33,11,-7480,4304,0.113992704
141510,34,-133,-7248,6209,0.115180128
141510,35,20,-6268,3592,0.116367552
141510,36,318,-5792,5884,0.117554976
141510,37,597,-5295,5948,0.118742400
141510,38,636,-6466,2465,0.119929824
141510,39,-450,-6081,5442,0.121117248
141510,40,-1497,-4250,3032,0.122304672
141510,41,-1172,-2086,4768,0.123492096
141510,42,-1429,-917,2545,0.124679520
141510,43,-464,-490,2203,0.125866944
141510,44,-281,-913,654,0.127054368
141510,45,226,-543,697,0.128241792
141510,46,153,-2061,285,0.129429216
141510,47,-219,-4029,960,0.130616640
141510,48,-384,-5525,-770,0.131804064
141510,49,-63,-6117,970,0.132991488
141510,50,-246,-3730,744,0.134178912
141510,51,-1122,-2828,1154,0.135366336
141510,52,-585,-2471,1146,0.136553760
141510,53,525,-2050,-840,0.137741184
141510,54,290,-2508,-1321,0.138928608
141510,55,369,-3921,-689,0.140116032
141510,56,253,-4157,-250,0.141303456
141510,57,-177,-6187,-313,0.142490880
141510,58,202,-6735,2023,0.143678304
141510,59,-55,-9001,2612,0.144865728
141510,60,-712,-8724,4198,0.146053152
