sequence,sample,x,y,z,time_s
101078,1,846,-8197,-3065,0.000000000
101078,2,1054,-7561,-992,0.001187424
101078,3,41,-6665,-1159,0.002374848
101078,4,187,-5949,-978,0.003562272
101078,5,604,-5487,-296,0.004749696
101078,6,484,-3836,-1208,0.005937120
101078,7,1237,-4369,-863,0.007124544
101078,8,978,-6762,-1905,0.008311968
101078,9,884,-9474,-2771,0.009499392
101078,10,354,-9421,-3,0.010686816
101078,11,-780,-10612,270,0.011874240
101078,12,-872,-12293,1750,0.013061664
101078,13,-275,-13920,2029,0.014249088
101078,14,-732,-13577,2691,0.015436512
101078,15,-1146,-13871,2741,0.016623936
101078,16,-265,-13744,3374,0.017811360
101078,17,-427,-12201,1583,0.018998784
101078,18,-313,-10155,2127,0.020186208
101078,19,218,-9432,566,0.021373632
101078,20,265,-10818,-424,0.022561056
101078,21,137,-10179,-1150,0.023748480
101078,22,-266,-7286,-1178,0.024935904
101078,23,-812,-5705,-1400,0.026123328
101078,24,-307,-4658,-1771,0.027310752
101078,25,112,-3025,-2006,0.028498176
101078,26,-375,-1700,-2666,0.029685600
101078,27,-384,-1217,-2489,0.030873024
101078,28,725,-579,-5465,0.032060448
101078,29,1138,-310,-3376,0.033247872
101078,30,653,891,-2919,0.034435296
101078,31,526,1771,-3811,0.035622720
101078,32,-663,878,-2366,0.036810144
101078,33,50,718,-1929,0.037997568
101078,34,605,756,-1817,0.039184992
101078,35,-114,855,-1548,0.040372416
101078,36,-561,305,-619,0.041559840
101078,37,272,-63,-1424,0.042747264
101078,38,909,-466,-865,0.043934688
101078,39,827,-1113,-824,0.045122112
101078,40,240,-3753,-1341,0.046309536
101078,41,1248,-5785,325,0.047496960
101078,42,141,-4885,1728,0.048684384
101078,43,-531,-2058,2829,0.049871808
101078,44,-1168,-751,3804,0.051059232
101078,45,-55,-529,2431,0.052246656
101078,46,897,-940,1665,0.053434080
101078,47,291,-1180,1983,0.054621504
101078,48,-1497,-1336,2631,0.055808928
101078,49,-2043,-1106,3911,0.056996352
101078,50,-1469,46,3701,0.058183776
101078,51,-2033,67,3856,0.059371200
101078,52,-117,32,3041,0.060558624
101078,53,437,443,1653,0.061746048
101078,54,983,1175,2735,0.062933472
101078,55,478,1191,1485,0.064120896
101078,56,96,442,1699,0.065308320
101078,57,-557,-1087,2000,0.066495744
101078,58,-228,-9207,2068,0.067683168
