sequence,sample,x,y,z,time_s
160,1,-334,-3770,1690,0.000000000
160,2,-332,-3768,1663,0.001200480
160,3,-321,-3762,1661,0.002400960
160,4,-339,-3771,1673,0.003601440
160,5,-342,-3769,1676,0.004801920
160,6,-346,-3769,1689,0.006002400
160,7,-356,-3775,1660,0.007202880
160,8,-345,-3763,1689,0.008403360
160,9,-346,-3754,1647,0.009603840
160,10,-340,-3757,1682,0.010804320
160,11,-352,-3770,1671,0.012004800
160,12,-363,-3771,1703,0.013205280
160,13,-362,-3758,1650,0.014405760
160,14,-352,-3754,1697,0.015606240
160,15,-347,-3734,1653,0.016806720
160,16,-329,-3750,1649,0.018007200
160,17,-336,-3757,1643,0.019207680
160,18,-347,-3763,1681,0.020408160
160,19,-342,-3748,1657,0.021608640
160,20,-354,-3741,1665,0.022809120
160,21,-315,-3724,1645,0.024009600
160,22,-334,-3737,1672,0.025210080
160,23,-334,-3740,1632,0.026410560
160,24,-337,-3749,1672,0.027611040
160,25,-342,-3739,1639,0.028811520
160,26,-360,-3731,1687,0.030012000
160,27,-364,-3723,1624,0.031212480
160,28,-315,-3715,1678,0.032412960
160,29,-335,-3719,1651,0.033613440
160,30,-325,-3729,1651,0.034813920
160,31,-371,-3732,1719,0.036014400
160,32,-363,-3729,1652,0.037214880
160,33,-367,-3713,1703,0.038415360
160,34,-365,-3707,1658,0.039615840
160,35,-352,-3711,1712,0.040816320
160,36,-355,-3727,1644,0.042016800
160,37,-356,-3718,1727,0.043217280
160,38,-376,-3734,1654,0.044417760
160,39,-386,-3729,1762,0.045618240
160,40,-381,-3712,1612,0.046818720
160,41,-366,-3710,1762,0.048019200
160,42,-373,-3729,1646,0.049219680
160,43,-367,-3740,1756,0.050420160
160,44,-371,-3741,1638,0.051620640
160,45,-382,-3741,1752,0.052821120
160,46,-386,-3725,1632,0.054021600
160,47,-391,-3728,1736,0.055222080
160,48,-384,-3743,1647,0.056422560
160,49,-395,-3754,1728,0.057623040
160,50,-382,-3748,1600,0.058823520
160,51,-395,-3739,1761,0.060024000
160,52,-407,-3708,1605,0.061224480
160,53,-410,-3722,1742,0.062424960
160,54,-412,-3716,1575,0.063625440
160,55,-404,-3731,1753,0.064825920
160,56,-397,-3732,1611,0.066026400
160,57,-415,-3715,1713,0.067226880
160,58,-407,-3720,1547,0.068427360
160,59,-409,-3712,1726,0.069627840
160,60,-418,-3698,1574,0.070828320
160,61,-419,-3699,1693,0.072028800
160,62,-396,-3703,1575,0.073229280
160,63,-423,-3717,1689,0.074429760
160,64,-414,-3711,1590,0.075630240
161,1,-420,-3706,1653,0.076817664
161,2,-432,-3695,1565,0.078005088
161,3,-448,-3714,1665,0.079192512
161,4,-429,-3712,1608,0.080379936
161,5,-441,-3707,1627,0.081567360
161,6,-438,-3717,1601,0.082754784
161,7,-439,-3712,1619,0.083942208
161,8,-439,-3732,1624,0.085129632
161,9,-424,-3722,1590,0.086317056
161,10,-427,-3722,1636,0.087504480
161,11,-453,-3731,1623,0.088691904
161,12,-444,-3714,1688,0.089879328
161,13,-443,-3727,1626,0.091066752
161,14,-438,-3725,1621,0.092254176
161,15,-460,-3729,1673,0.093441600
161,16,-463,-3736,1631,0.094629024
161,17,-452,-3734,1651,0.095816448
161,18,-463,-3732,1616,0.097003872
161,19,-473,-3730,1694,0.098191296
161,20,-463,-3722,1627,0.099378720
161,21,-444,-3714,1637,0.100566144
161,22,-458,-3722,1660,0.101753568
161,23,-456,-3735,1673,0.102940992
161,24,-464,-3730,1651,0.104128416
161,25,-462,-3717,1663,0.105315840
161,26,-477,-3721,1664,0.106503264
161,27,-454,-3716,1626,0.107690688
161,28,-447,-3734,1648,0.108878112
161,29,-456,-3735,1641,0.110065536
161,30,-461,-3743,1652,0.111252960
161,31,-482,-3715,1672,0.112440384
161,32,-477,-3713,1648,0.113627808
161,33,-478,-3710,1686,0.114815232
161,34,-428,-3724,1585,0.116002656
161,35,-477,-3715,1655,0.117190080
161,36,-483,-3729,1642,0.118377504
161,37,-486,-3717,1601,0.119564928
161,38,-479,-3725,1620,0.120752352
161,39,-487,-3710,1645,0.121939776
161,40,-472,-3706,1626,0.123127200
161,41,-456,-3702,1594,0.124314624
161,42,-456,-3718,1665,0.125502048
161,43,-465,-3722,1585,0.126689472
161,44,-471,-3732,1602,0.127876896
161,45,-487,-3712,1585,0.129064320
161,46,-503,-3708,1594,0.130251744
161,47,-483,-3701,1605,0.131439168
161,48,-462,-3730,1594,0.132626592
161,49,-458,-3729,1631,0.133814016
161,50,-480,-3740,1615,0.135001440
161,51,-476,-3726,1624,0.136188864
161,52,-472,-3725,1608,0.137376288
161,53,-471,-3727,1643,0.138563712
161,54,-472,-3716,1570,0.139751136
161,55,-466,-3738,1627,0.140938560
161,56,-484,-3731,1637,0.142125984
161,57,-480,-3747,1622,0.143313408
161,58,-475,-3729,1606,0.144500832
161,59,-503,-3729,1661,0.145688256
161,60,-471,-3734,1635,0.146875680
161,61,-475,-3754,1636,0.148063104
161,62,-487,-3762,1625,0.149250528
161,63,-492,-3756,1625,0.150437952
