sequence,sample,x,y,z,time_s
26098,1,51,-3848,653,0.000000000
26098,2,71,-3940,427,0.001187424
26098,3,110,-4003,375,0.002374848
26098,4,85,-4082,345,0.003562272
26098,5,-65,-4118,446,0.004749696
26098,6,-202,-4077,520,0.005937120
26098,7,-292,-4023,629,0.007124544
26098,8,-250,-3944,680,0.008311968
26098,9,-160,-3925,569,0.009499392
26098,10,-16,-3991,486,0.010686816
26098,11,31,-4083,411,0.011874240
26098,12,97,-3975,400,0.013061664
26098,13,273,-3631,241,0.014249088
26098,14,513,-3445,342,0.015436512
26098,15,560,-3434,303,0.016623936
26098,16,517,-3516,413,0.017811360
26098,17,442,-3571,426,0.018998784
26098,18,307,-3573,530,0.020186208
26098,19,318,-3507,555,0.021373632
26098,20,381,-3465,304,0.022561056
26098,21,358,-3533,180,0.023748480
26098,22,341,-3651,-42,0.024935904
26098,23,374,-3739,-58,0.026123328
26098,24,368,-3806,-47,0.027310752
26098,25,286,-3905,131,0.028498176
26098,26,218,-3920,270,0.029685600
26098,27,237,-3961,325,0.030873024
26098,28,260,-4105,443,0.032060448
26098,29,178,-4250,294,0.033247872
26098,30,138,-4346,274,0.034435296
26098,31,52,-4412,188,0.035622720
26098,32,-4,-4414,295,0.036810144
26098,33,-116,-4355,337,0.037997568
26098,34,-287,-4397,532,0.039184992
26098,35,-467,-4478,620,0.040372416
26098,36,-426,-4528,664,0.041559840
26098,37,-283,-4530,754,0.042747264
26098,38,-161,-4410,735,0.043934688
26098,39,7,-4335,736,0.045122112
26098,40,101,-4380,619,0.046309536
26098,41,163,-4401,622,0.047496960
26098,42,184,-4408,685,0.048684384
26098,43,125,-4362,715,0.049871808
26098,44,52,-4298,742,0.051059232
26098,45,-2,-4244,693,0.052246656
26098,46,22,-4194,545,0.053434080
26098,47,25,-4172,254,0.054621504
26098,48,111,-4141,29,0.055808928
26098,49,146,-4093,-232,0.056996352
26098,50,276,-4033,-358,0.058183776
26098,51,414,-4026,-336,0.059371200
26098,52,445,-4076,-313,0.060558624
26098,53,432,-4127,-144,0.061746048
26098,54,378,-4172,4,0.062933472
26098,55,346,-4263,143,0.064120896
26098,56,394,-4299,236,0.065308320
26098,57,349,-4302,256,0.066495744
26098,58,255,-4151,270,0.067683168
26098,59,178,-4074,403,0.068870592
26098,60,146,-4063,365,0.070058016
26098,61,47,-4077,606,0.071245440
26098,62,-72,-4103,780,0.072432864
26098,63,-74,-4095,979,0.073620288
26098,64,-43,-4092,1027,0.074807712
26099,1,10,-4113,1060,0.075995136
26099,2,94,-4152,970,0.077182560
26099,3,152,-4162,781,0.078369984
26099,4,139,-4145,755,0.079557408
26099,5,37,-4071,748,0.080744832
26099,6,-8,-4040,648,0.081932256
26099,7,-100,-4019,635,0.083119680
26099,8,-118,-3970,560,0.084307104
26099,9,-40,-3962,562,0.085494528
26099,10,-37,-3994,478,0.086681952
26099,11,-84,-4007,619,0.087869376
26099,12,-94,-3883,562,0.089056800
26099,13,12,-3763,579,0.090244224
26099,14,139,-3748,462,0.091431648
26099,15,275,-3833,394,0.092619072
26099,16,287,-3911,266,0.093806496
26099,17,255,-3921,295,0.094993920
26099,18,253,-3860,372,0.096181344
26099,19,310,-3895,539,0.097368768
26099,20,244,-4014,610,0.098556192
26099,21,109,-4153,703,0.099743616
26099,22,19,-4247,722,0.100931040
26099,23,8,-4263,686,0.102118464
26099,24,76,-4260,622,0.103305888
26099,25,193,-4264,449,0.104493312
26099,26,243,-4322,351,0.105680736
26099,27,307,-4422,302,0.106868160
26099,28,386,-4528,280,0.108055584
26099,29,456,-4540,380,0.109243008
26099,30,490,-4539,427,0.110430432
26099,31,477,-4512,511,0.111617856
26099,32,505,-4571,542,0.112805280
26099,33,484,-4625,478,0.113992704
26099,34,535,-4613,390,0.115180128
26099,35,513,-4501,424,0.116367552
26099,36,490,-4294,330,0.117554976
26099,37,439,-4157,443,0.118742400
26099,38,416,-4100,467,0.119929824
26099,39,408,-4124,494,0.121117248
26099,40,346,-4186,568,0.122304672
26099,41,304,-4242,716,0.123492096
26099,42,258,-4230,661,0.124679520
26099,43,220,-4173,789,0.125866944
26099,44,205,-4158,711,0.127054368
26099,45,180,-4192,751,0.128241792
26099,46,132,-4223,630,0.129429216
26099,47,21,-4230,635,0.130616640
26099,48,-70,-4246,627,0.131804064
26099,49,-167,-4245,621,0.132991488
26099,50,-221,-4262,625,0.134178912
26099,51,-274,-4321,610,0.135366336
26099,52,-233,-4383,628,0.136553760
26099,53,-150,-4404,612,0.137741184
26099,54,-75,-4396,684,0.138928608
26099,55,-17,-4373,727,0.140116032
26099,56,64,-4351,732,0.141303456
26099,57,120,-4390,720,0.142490880
26099,58,258,-4391,620,0.143678304
26099,59,383,-4389,443,0.144865728
26099,60,475,-4259,282,0.146053152
26099,61,494,-4074,205,0.147240576
26099,62,470,-3961,62,0.148428000
26099,63,446,-3951,61,0.149615424
26099,64,415,-4032,-16,0.150802848
26100,1,405,-4082,54,0.151990272
26100,2,326,-4140,55,0.153177696
26100,3,282,-4141,164,0.154365120
26100,4,260,-4178,235,0.155552544
