sequence,sample,x,y,z,time_s
780,1,-110,48,-8083,0.000000000
780,2,-123,46,-8094,0.001187424
780,3,-116,17,-8077,0.002374848
780,4,-118,37,-8089,0.003562272
780,5,-119,25,-8092,0.004749696
780,6,-99,35,-8081,0.005937120
780,7,-100,23,-8066,0.007124544
780,8,-88,49,-8081,0.008311968
780,9,-105,83,-8087,0.009499392
780,10,-93,75,-8069,0.010686816
780,11,-102,63,-8117,0.011874240
780,12,-83,71,-8084,0.013061664
780,13,-95,43,-8103,0.014249088
780,14,-77,21,-8089,0.015436512
780,15,-87,25,-8097,0.016623936
780,16,-52,26,-8096,0.017811360
780,17,-70,5,-8121,0.018998784
780,18,-68,1,-8115,0.020186208
780,19,-82,29,-8107,0.021373632
780,20,-100,32,-8120,0.022561056
780,21,-130,53,-8106,0.023748480
780,22,-112,48,-8109,0.024935904
780,23,-140,44,-8115,0.026123328
780,24,-134,47,-8120,0.027310752
780,25,-110,17,-8141,0.028498176
780,26,-99,3,-8131,0.029685600
780,27,-72,-1,-8133,0.030873024
780,28,-59,-14,-8121,0.032060448
780,29,-58,4,-8133,0.033247872
780,30,-59,4,-8121,0.034435296
780,31,-74,5,-8157,0.035622720
780,32,-86,22,-8126,0.036810144
780,33,-95,10,-8118,0.037997568
780,34,-117,11,-8115,0.039184992
780,35,-115,15,-8117,0.040372416
780,36,-110,28,-8097,0.041559840
780,37,-119,20,-8086,0.042747264
780,38,-70,2,-8068,0.043934688
780,39,-59,-4,-8090,0.045122112
780,40,-65,-9,-8095,0.046309536
780,41,-74,-12,-8081,0.047496960
780,42,-77,-5,-8085,0.048684384
780,43,-63,-12,-8058,0.049871808
780,44,-76,-16,-8090,0.051059232
780,45,-86,-23,-8066,0.052246656
780,46,-91,-18,-8080,0.053434080
780,47,-109,0,-8065,0.054621504
780,48,-102,-6,-8069,0.055808928
780,49,-74,-25,-8064,0.056996352
780,50,-73,-25,-8050,0.058183776
780,51,-83,-3,-8068,0.059371200
780,52,-85,-24,-8038,0.060558624
780,53,-84,-36,-8064,0.061746048
780,54,-52,-33,-8080,0.062933472
780,55,-65,-39,-8062,0.064120896
780,56,-62,-48,-8073,0.065308320
780,57,-48,-53,-8058,0.066495744
780,58,-59,-40,-8065,0.067683168
780,59,-98,-25,-8092,0.068870592
780,60,-73,-15,-8090,0.070058016
780,61,-63,-18,-8094,0.071245440
780,62,-100,5,-8110,0.072432864
780,63,-108,8,-8066,0.073620288
780,64,-68,-28,-8083,0.074807712
781,1,-75,-5,-8100,0.075995136
