sequence,sample,x,y,z,time_s
0,1,-97,-52,-8114,0.000000
0,2,-109,-57,-8122,0.001187
0,3,-120,-12,-8096,0.002375
0,4,-128,26,-8073,0.003562
0,5,-142,54,-8052,0.004750
0,6,-80,98,-8030,0.005937
0,7,-100,91,-8025,0.007125
0,8,-77,92,-8028,0.008312
0,9,-55,64,-8058,0.009499
0,10,-85,58,-8057,0.010687
0,11,-93,-12,-8066,0.011874
0,12,-98,-35,-8067,0.013062
0,13,-88,-59,-8070,0.014249
0,14,-98,-79,-8089,0.015437
0,15,-111,-104,-8121,0.016624
0,16,-132,-78,-8133,0.017811
0,17,-114,-69,-8085,0.018999
0,18,-92,-24,-8137,0.020186
0,19,-60,19,-8111,0.021374
0,20,-32,56,-8132,0.022561
0,21,-36,47,-8106,0.023748
0,22,-22,47,-8130,0.024936
0,23,-37,53,-8114,0.026123
0,24,-40,42,-8123,0.027311
0,25,-76,2,-8119,0.028498
0,26,-100,10,-8103,0.029686
0,27,-136,-32,-8093,0.030873
0,28,-197,-46,-8071,0.032060
0,29,-203,-46,-8105,0.033248
0,30,-202,-59,-8058,0.034435
0,31,-115,-37,-8105,0.035623
0,32,-108,-13,-8072,0.036810
0,33,-59,13,-8094,0.037998
0,34,-14,12,-8099,0.039185
0,35,-24,31,-8090,0.040372
0,36,13,72,-8127,0.041560
0,37,15,51,-8106,0.042747
0,38,-1,71,-8104,0.043935
0,39,-42,75,-8110,0.045122
0,40,-101,31,-8117,0.046310
0,41,-114,61,-8113,0.047497
0,42,-173,14,-8115,0.048684
0,43,-166,17,-8115,0.049872
0,44,-159,2,-8075,0.051059
0,45,-141,-4,-8070,0.052247
0,46,-114,-3,-8103,0.053434
0,47,-86,26,-8103,0.054622
0,48,-47,20,-8076,0.055809
0,49,-27,51,-8113,0.056996
0,50,-32,60,-8093,0.058184
0,51,-62,71,-8104,0.059371
0,52,-68,60,-8108,0.060559
0,53,-57,60,-8113,0.061746
0,54,-103,73,-8128,0.062933
0,55,-96,51,-8131,0.064121
0,56,-97,49,-8127,0.065308
0,57,-101,20,-8104,0.066496
0,58,-106,20,-8130,0.067683
0,59,-109,-14,-8100,0.068871
0,60,-82,-8,-8126,0.070058
0,61,-88,5,-8124,0.071245
0,62,-81,50,-8104,0.072433
0,63,-115,45,-8099,0.073620
0,64,-98,66,-8093,0.074808
1,1,-110,82,-8106,0.075995
1,2,-114,73,-8100,0.077183
1,3,-97,68,-8105,0.078370
1,4,-125,30,-8111,0.079557
1,5,-96,32,-8133,0.080745
1,6,-89,25,-8142,0.081932
1,7,-100,-7,-8124,0.083120
1,8,-47,-31,-8118,0.084307
1,9,-77,4,-8143,0.085495
1,10,-74,-1,-8124,0.086682
1,11,-70,6,-8133,0.087869
1,12,-126,42,-8142,0.089057
1,13,-139,38,-8106,0.090244
1,14,-135,63,-8102,0.091432
1,15,-125,56,-8098,0.092619
1,16,-106,39,-8073,0.093806
1,17,-114,53,-8084,0.094994
1,18,-125,8,-8097,0.096181
1,19,-99,-5,-8081,0.097369
1,20,-83,-20,-8056,0.098556
1,21,-94,-12,-8110,0.099744
1,22,-81,-15,-8062,0.100931
1,23,-82,-49,-8076,0.102118
1,24,-110,7,-8079,0.103306
1,25,-97,-21,-8089,0.104493
1,26,-116,13,-8088,0.105681
1,27,-91,59,-8088,0.106868
1,28,-90,45,-8095,0.108056
1,29,-74,32,-8087,0.109243
1,30,-69,49,-8088,0.110430
1,31,-52,15,-8077,0.111618
1,32,-65,3,-8104,0.112805
1,33,-90,-40,-8127,0.113993
1,34,-113,-48,-8142,0.115180
1,35,-105,-19,-8114,0.116368
1,36,-150,21,-8105,0.117555
1,37,-128,8,-8122,0.118742
1,38,-137,3,-8106,0.119930
1,39,-112,-29,-8126,0.121117
1,40,-92,-4,-8073,0.122305
1,41,-65,12,-8091,0.123492
1,42,-28,-9,-8111,0.124680
1,43,-24,7,-8111,0.125867
1,44,-16,5,-8109,0.127054
1,45,-9,-4,-8130,0.128242
1,46,-78,-15,-8119,0.129429
1,47,-94,-9,-8123,0.130617
1,48,-122,-9,-8117,0.131804
1,49,-140,19,-8062,0.132991
1,50,-121,-10,-8102,0.134179
1,51,-119,-1,-8068,0.135366
1,52,-107,-15,-8084,0.136554
