sequence,sample,x,y,z,time_s
0,1,-71,71,-8100,0.000000
0,2,-75,54,-8092,0.001187
0,3,-84,33,-8115,0.002375
0,4,-79,17,-8098,0.003562
0,5,-69,21,-8101,0.004750
0,6,-74,3,-8121,0.005937
0,7,-66,30,-8094,0.007125
0,8,-75,-10,-8114,0.008312
0,9,-97,-13,-8081,0.009499
0,10,-90,-2,-8097,0.010687
0,11,-98,20,-8095,0.011874
0,12,-90,23,-8089,0.013062
0,13,-68,54,-8089,0.014249
0,14,-74,56,-8100,0.015437
0,15,-49,61,-8102,0.016624
0,16,-75,52,-8105,0.017811
0,17,-58,62,-8106,0.018999
0,18,-67,49,-8108,0.020186
0,19,-72,38,-8137,0.021374
0,20,-88,36,-8120,0.022561
0,21,-113,13,-8104,0.023748
0,22,-116,32,-8119,0.024936
0,23,-106,34,-8135,0.026123
0,24,-97,18,-8140,0.027311
0,25,-81,60,-8140,0.028498
0,26,-57,37,-8129,0.029686
0,27,-50,29,-8120,0.030873
0,28,-60,26,-8136,0.032060
0,29,-42,50,-8118,0.033248
0,30,-60,43,-8131,0.034435
0,31,-59,52,-8110,0.035623
0,32,-106,42,-8134,0.036810
0,33,-93,51,-8107,0.037998
0,34,-106,20,-8114,0.039185
0,35,-149,11,-8116,0.040372
0,36,-120,12,-8104,0.041560
0,37,-109,37,-8107,0.042747
0,38,-85,31,-8087,0.043935
0,39,-88,17,-8128,0.045122
0,40,-54,21,-8105,0.046310
0,41,-61,37,-8127,0.047497
0,42,-70,24,-8095,0.048684
0,43,-65,26,-8097,0.049872
0,44,-52,29,-8095,0.051059
0,45,-87,23,-8082,0.052247
0,46,-99,23,-8119,0.053434
0,47,-71,27,-8079,0.054622
0,48,-73,19,-8116,0.055809
0,49,-89,-25,-8085,0.056996
0,50,-112,-18,-8092,0.058184
0,51,-112,-6,-8093,0.059371
0,52,-75,1,-8083,0.060559
0,53,-115,6,-8101,0.061746
0,54,-99,1,-8078,0.062933
0,55,-110,21,-8105,0.064121
0,56,-98,-7,-8087,0.065308
0,57,-121,-8,-8118,0.066496
0,58,-104,-2,-8090,0.067683
0,59,-98,-8,-8105,0.068871
0,60,-105,-2,-8101,0.070058
0,61,-101,2,-8118,0.071245
0,62,-83,16,-8097,0.072433
0,63,-98,4,-8076,0.073620
0,64,-80,-16,-8082,0.074808
1,1,-111,-29,-8077,0.075995
1,2,-86,-7,-8121,0.077183
1,3,-110,-9,-8118,0.078370
1,4,-102,-3,-8119,0.079557
1,5,-93,-13,-8095,0.080745
1,6,-118,6,-8107,0.081932
1,7,-130,18,-8100,0.083120
1,8,-114,16,-8091,0.084307
1,9,-132,15,-8065,0.085495
1,10,-81,11,-8076,0.086682
1,11,-92,4,-8106,0.087869
1,12,-78,-20,-8100,0.089057
1,13,-80,-15,-8107,0.090244
1,14,-53,-11,-8090,0.091432
1,15,-77,-22,-8121,0.092619
1,16,-103,29,-8089,0.093806
1,17,-112,8,-8103,0.094994
1,18,-132,20,-8114,0.096181
1,19,-129,29,-8104,0.097369
1,20,-141,22,-8097,0.098556
1,21,-109,48,-8089,0.099744
1,22,-56,53,-8099,0.100931
1,23,-99,14,-8092,0.102118
1,24,-66,16,-8109,0.103306
1,25,-87,-6,-8097,0.104493
1,26,-54,-9,-8086,0.105681
1,27,-67,1,-8080,0.106868
1,28,-79,-10,-8053,0.108056
1,29,-95,-21,-8107,0.109243
1,30,-127,-6,-8061,0.110430
1,31,-106,30,-8099,0.111618
1,32,-113,21,-8058,0.112805
1,33,-71,29,-8090,0.113993
1,34,-81,52,-8077,0.115180
1,35,-88,47,-8101,0.116368
1,36,-64,34,-8118,0.117555
1,37,-64,-2,-8114,0.118742
1,38,-62,38,-8123,0.119930
1,39,-83,15,-8100,0.121117
1,40,-82,21,-8105,0.122305
1,41,-67,16,-8103,0.123492
1,42,-90,-5,-8118,0.124680
1,43,-71,-11,-8140,0.125867
1,44,-78,30,-8110,0.127054
1,45,-97,34,-8124,0.128242
1,46,-99,38,-8116,0.129429
1,47,-74,34,-8132,0.130617
1,48,-79,59,-8102,0.131804
1,49,-70,56,-8135,0.132991
1,50,-68,34,-8109,0.134179
1,51,-55,49,-8158,0.135366
1,52,-67,66,-8115,0.136554
1,53,-63,39,-8122,0.137741
1,54,-96,21,-8133,0.138929
1,55,-112,46,-8129,0.140116
1,56,-125,24,-8133,0.141303
1,57,-124,36,-8135,0.142491
1,58,-116,20,-8118,0.143678
1,59,-92,2,-8115,0.144866
1,60,-65,30,-8107,0.146053
1,61,-59,34,-8068,0.147241
1,62,-75,26,-8109,0.148428
1,63,-55,32,-8105,0.149615
1,64,-74,40,-8081,0.150803
2,1,-72,33,-8099,0.151990
2,2,-51,44,-8097,0.153178
2,3,-86,41,-8096,0.154365
2,4,-122,51,-8092,0.155553
2,5,-123,34,-8100,0.156740
2,6,-101,25,-8081,0.157927
2,7,-98,4,-8085,0.159115
2,8,-98,9,-8081,0.160302
2,9,-117,19,-8071,0.161490
2,10,-76,-15,-8086,0.162677
2,11,-65,5,-8094,0.163865
2,12,-70,12,-8103,0.165052
2,13,-92,10,-8095,0.166239
2,14,-84,33,-8109,0.167427
2,15,-71,25,-8098,0.168614
2,16,-107,17,-8112,0.169802
2,17,-111,-2,-8101,0.170989
2,18,-101,2,-8094,0.172176
2,19,-88,3,-8097,0.173364
2,20,-92,-1,-8083,0.174551
2,21,-112,-1,-8084,0.175739
2,22,-75,-14,-8069,0.176926
2,23,-100,-14,-8113,0.178114
2,24,-98,-3,-8109,0.179301
2,25,-71,-8,-8080,0.180488
2,26,-94,-7,-8098,0.181676
2,27,-111,20,-8114,0.182863
2,28,-85,22,-8116,0.184051
2,29,-100,31,-8104,0.185238
2,30,-104,3,-8102,0.186426
2,31,-77,26,-8077,0.187613
2,32,-94,16,-8133,0.188800
2,33,-98,-5,-8093,0.189988
2,34,-61,-1,-8109,0.191175
2,35,-93,-35,-8102,0.192363
2,36,-106,-26,-8094,0.193550
2,37,-87,-7,-8109,0.194738
2,38,-86,-16,-8111,0.195925
2,39,-79,-8,-8083,0.197112
2,40,-108,8,-8081,0.198300
2,41,-104,-12,-8123,0.199487
2,42,-91,3,-8079,0.200675
2,43,-105,28,-8113,0.201862
2,44,-101,14,-8096,0.203050
2,45,-90,36,-8091,0.204237
2,46,-85,17,-8084,0.205424
2,47,-75,12,-8120,0.206612
2,48,-90,9,-8114,0.207799
2,49,-99,12,-8084,0.208987
2,50,-115,-2,-8118,0.210174
2,51,-94,-3,-8104,0.211361
2,52,-77,-5,-8098,0.212549
2,53,-65,16,-8095,0.213736
2,54,-66,43,-8115,0.214924
2,55,-80,18,-8085,0.216111
2,56,-89,18,-8118,0.217299
2,57,-71,-6,-8102,0.218486
2,58,-77,12,-8082,0.219673
2,59,-78,27,-8114,0.220861
2,60,-69,-4,-8079,0.222048
2,61,-115,30,-8111,0.223236
2,62,-123,9,-8104,0.224423
2,63,-90,8,-8104,0.225611
2,64,-80,0,-8091,0.226798
3,1,-99,16,-8098,0.227985
3,2,-99,27,-8077,0.229173
3,3,-93,20,-8105,0.230360
3,4,-94,20,-8102,0.231548
3,5,-68,31,-8095,0.232735
3,6,-92,30,-8102,0.233923
3,7,-82,48,-8096,0.235110
3,8,-74,20,-8103,0.236297
3,9,-70,44,-8116,0.237485
