sequence,sample,x,y,z,time_s
789,1,-95,-6,-8090,-0.074807712
789,2,-96,-25,-8093,-0.073620288
789,3,-82,-21,-8081,-0.072432864
789,4,-91,-26,-8064,-0.071245440
789,5,-92,-15,-8076,-0.070058016
789,6,-88,-29,-8082,-0.068870592
789,7,-76,-14,-8087,-0.067683168
789,8,-100,-1,-8084,-0.066495744
789,9,-111,4,-8100,-0.065308320
789,10,-103,-24,-8090,-0.064120896
789,11,-83,-21,-8122,-0.062933472
789,12,-83,-25,-8082,-0.061746048
789,13,-99,-16,-8080,-0.060558624
789,14,-81,-9,-8089,-0.059371200
789,15,-91,-22,-8121,-0.058183776
789,16,-85,-6,-8096,-0.056996352
789,17,-86,-7,-8095,-0.055808928
789,18,-100,11,-8097,-0.054621504
789,19,-104,-8,-8082,-0.053434080
789,20,-123,1,-8124,-0.052246656
789,21,-97,-4,-8078,-0.051059232
789,22,-100,-5,-8092,-0.049871808
789,23,-115,2,-8086,-0.048684384
789,24,-79,-20,-8092,-0.047496960
789,25,-102,-24,-8096,-0.046309536
789,26,-121,2,-8095,-0.045122112
789,27,-131,15,-8098,-0.043934688
789,28,-103,-6,-8086,-0.042747264
789,29,-68,-5,-8112,-0.041559840
789,30,-117,8,-8085,-0.040372416
789,31,-113,24,-8098,-0.039184992
789,32,-97,21,-8086,-0.037997568
789,33,-119,20,-8088,-0.036810144
789,34,-96,-21,-8087,-0.035622720
789,35,-97,-11,-8098,-0.034435296
789,36,-93,28,-8103,-0.033247872
789,37,-104,20,-8098,-0.032060448
789,38,-99,18,-8103,-0.030873024
789,39,-108,6,-8074,-0.029685600
789,40,-106,29,-8094,-0.028498176
789,41,-78,37,-8094,-0.027310752
789,42,-92,30,-8120,-0.026123328
789,43,-105,26,-8115,-0.024935904
789,44,-93,3,-8113,-0.023748480
789,45,-100,26,-8115,-0.022561056
789,46,-86,19,-8073,-0.021373632
789,47,-107,24,-8111,-0.020186208
789,48,-108,37,-8103,-0.018998784
789,49,-84,38,-8124,-0.017811360
789,50,-95,34,-8100,-0.016623936
789,51,-119,31,-8113,-0.015436512
789,52,-101,25,-8101,-0.014249088
789,53,-85,28,-8115,-0.013061664
789,54,-69,31,-8094,-0.011874240
789,55,-92,38,-8108,-0.010686816
789,56,-116,62,-8084,-0.009499392
789,57,-78,41,-8064,-0.008311968
789,58,-98,28,-8117,-0.007124544
789,59,-96,27,-8107,-0.005937120
789,60,-93,37,-8140,-0.004749696
789,61,-93,19,-8120,-0.003562272
789,62,-83,40,-8109,-0.002374848
789,63,-113,13,-8108,-0.001187424
789,64,-107,28,-8090,0.000000000
790,1,-86,13,-8125,0.001187424
790,2,-100,6,-8095,0.002374848
790,3,-82,15,-8111,0.003562272
790,4,-96,1,-8088,0.004749696
790,5,-40,11,-8145,0.005937120
790,6,-56,-1,-8111,0.007124544
790,7,-72,5,-8101,0.008311968
790,8,-95,0,-8081,0.009499392
790,9,-89,-4,-8089,0.010686816
790,10,-78,10,-8085,0.011874240
790,11,-94,4,-8071,0.013061664
790,12,-86,-19,-8083,0.014249088
790,13,-68,-3,-8082,0.015436512
790,14,-74,4,-8129,0.016623936
790,15,-79,6,-8094,0.017811360
790,16,-106,5,-8084,0.018998784
790,17,-68,25,-8090,0.020186208
790,18,-64,9,-8087,0.021373632
790,19,-93,-29,-8111,0.022561056
790,20,-90,4,-8119,0.023748480
790,21,-90,-13,-8111,0.024935904
790,22,-103,-10,-8051,0.026123328
790,23,-86,-15,-8091,0.027310752
790,24,-84,-21,-8107,0.028498176
790,25,-71,-2,-8090,0.029685600
790,26,-94,-13,-8112,0.030873024
790,27,-79,14,-8084,0.032060448
790,28,-79,-1,-8073,0.033247872
790,29,-89,17,-8098,0.034435296
790,30,-101,3,-8112,0.035622720
790,31,-89,-5,-8091,0.036810144
790,32,-79,-10,-8117,0.037997568
790,33,-86,14,-8071,0.039184992
790,34,-68,-8,-8088,0.040372416
790,35,-95,-24,-8084,0.041559840
790,36,-105,-18,-8095,0.042747264
790,37,-96,-15,-8065,0.043934688
790,38,-114,-27,-8070,0.045122112
790,39,-95,-20,-8108,0.046309536
790,40,-100,-8,-8072,0.047496960
790,41,-129,-28,-8085,0.048684384
790,42,-110,-14,-8067,0.049871808
790,43,-93,-7,-8095,0.051059232
790,44,-108,-9,-8077,0.052246656
790,45,-93,-4,-8095,0.053434080
790,46,-103,-26,-8081,0.054621504
790,47,-83,-36,-8057,0.055808928
790,48,-53,-20,-8089,0.056996352
790,49,-77,-9,-8102,0.058183776
790,50,-91,2,-8121,0.059371200
790,51,-87,-9,-8072,0.060558624
790,52,-104,-11,-8078,0.061746048
790,53,-117,-7,-8049,0.062933472
790,54,-97,26,-8064,0.064120896
790,55,-91,5,-8050,0.065308320
790,56,-123,-22,-8092,0.066495744
790,57,-76,-23,-8112,0.067683168
790,58,-96,-11,-8077,0.068870592
790,59,-100,-14,-8088,0.070058016
790,60,-87,-10,-8067,0.071245440
790,61,-99,-3,-8091,0.072432864
790,62,-90,-13,-8094,0.073620288
790,63,-99,7,-8105,0.074807712
790,64,-86,8,-8087,0.075995136
791,1,-101,3,-8095,0.077182560
791,2,-87,32,-8118,0.078369984
791,3,-93,13,-8115,0.079557408
791,4,-85,29,-8111,0.080744832
791,5,-91,-10,-8092,0.081932256
